,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
0,no_act_2(0),-0.887,-0.858,-0.804,-0.81,-0.789,2.171,1.912,6.638999999999999,6.5329999999999995,6.686,6.343,0
1,no_act_2(1),-0.8759999999999999,-0.778,-0.823,-0.8109999999999999,-0.7659999999999999,2.081,1.925,6.8260000000000005,6.292999999999999,6.777,6.218,0
2,no_act_2(2),-0.87,-0.8109999999999999,-0.8140000000000001,-0.787,-0.813,2.046,1.8230000000000002,6.4639999999999995,5.955,6.397,6.044,0
3,no_act_2(3),-0.89,-0.8140000000000001,-0.804,-0.778,-0.7929999999999999,1.9569999999999999,1.82,6.847,5.989,6.859,6.065,0
4,no_act_2(4),-0.914,-0.8029999999999999,-0.825,-0.7909999999999999,-0.7909999999999999,1.9369999999999998,1.82,6.922000000000001,6.522,6.834,6.422000000000001,0
5,no_act_2(5),-0.898,-0.8,-0.7859999999999999,-0.795,-0.816,2.103,1.963,6.7620000000000005,6.632000000000001,6.837000000000001,6.377000000000001,0
6,no_act_2(6),-0.905,-0.774,-0.7959999999999999,-0.7859999999999999,-0.7959999999999999,2.168,1.989,6.877000000000001,6.3229999999999995,6.825,6.207999999999999,0
7,no_act_2(7),-0.899,-0.804,-0.818,-0.782,-0.799,2.031,1.828,6.61,6.36,6.606,6.1739999999999995,0
8,no_act_2(8),-0.855,-0.815,-0.792,-0.759,-0.7929999999999999,2.142,1.847,6.766,6.516,6.6579999999999995,6.561,0
9,no_act_2(9),-0.815,-0.843,-0.794,-0.835,-0.8190000000000001,2.109,1.96,6.75,6.349,6.636,6.3020000000000005,0
10,no_act_2(10),-0.809,-0.828,-0.82,-0.826,-0.805,2.053,1.828,6.755,6.155,6.705,6.18,0
11,no_act_2(11),-0.9,-0.823,-0.79,-0.78,-0.8170000000000001,1.9680000000000002,1.788,6.96,5.848,7.1129999999999995,5.952000000000001,0
12,no_act_2(12),-0.9129999999999999,-0.807,-0.813,-0.785,-0.775,2.082,1.9780000000000002,6.7,6.312,6.7989999999999995,6.357,0
13,no_act_2(13),-0.938,-0.8170000000000001,-0.8,-0.805,-0.8009999999999999,2.311,2.06,7.216,6.435,7.16,6.3839999999999995,0
14,no_act_2(14),-0.902,-0.8190000000000001,-0.8170000000000001,-0.777,-0.7859999999999999,2.167,1.93,6.67,6.433,6.646,6.367999999999999,0
15,no_act_2(15),-0.858,-0.85,-0.799,-0.799,-0.8340000000000001,2.09,1.945,6.744,5.819,6.837000000000001,5.766,0
16,no_act_2(16),-0.877,-0.823,-0.8220000000000001,-0.8009999999999999,-0.8190000000000001,2.208,1.92,6.535,6.351,6.7010000000000005,6.308,0
17,no_act_2(17),-0.9109999999999999,-0.769,-0.82,-0.77,-0.83,2.266,2.1069999999999998,6.979,6.365,6.976,6.353,0
18,no_act_2(18),-0.887,-0.78,-0.809,-0.84,-0.7759999999999999,2.112,2.001,6.7010000000000005,6.202000000000001,6.627000000000001,6.245,0
19,no_act_2(19),-0.8140000000000001,-0.823,-0.855,-0.802,-0.775,2.021,1.899,6.922000000000001,6.095,6.984,5.975,0
20,no_act_2(20),-0.8109999999999999,-0.8140000000000001,-0.823,-0.8270000000000001,-0.79,2.025,1.9780000000000002,7.447,6.064,7.41,6.151,0
21,no_act_2(21),-0.804,-0.85,-0.812,-0.82,-0.831,1.855,1.7919999999999998,7.027,6.437,7.0489999999999995,6.586,0
22,no_act_2(22),-0.912,-0.778,-0.82,-0.7909999999999999,-0.807,2.009,1.83,6.8389999999999995,5.957000000000001,6.937,5.815,0
23,no_act_2(23),-0.92,-0.818,-0.805,-0.7829999999999999,-0.8009999999999999,2.064,1.982,6.9510000000000005,5.647,7.041,5.561,0
24,no_act_2(24),-0.93,-0.795,-0.767,-0.777,-0.8,2.07,1.953,6.53,6.281000000000001,6.737,6.2,0
25,no_act_2(25),-0.893,-0.779,-0.797,-0.7959999999999999,-0.7709999999999999,2.011,1.95,7.183,6.372999999999999,7.263999999999999,6.2860000000000005,0
26,no_act_2(26),-0.835,-0.79,-0.8009999999999999,-0.7929999999999999,-0.804,2.18,1.932,6.971,6.278,6.995,6.12,0
27,no_act_2(27),-0.86,-0.78,-0.805,-0.7759999999999999,-0.8109999999999999,2.21,1.9,6.846,5.939,6.812,5.947,0
28,no_act_2(28),-0.91,-0.823,-0.8140000000000001,-0.7909999999999999,-0.804,2.19,2.011,7.315,6.131,7.206,6.135,0
29,no_act_2(29),-0.898,-0.802,-0.7979999999999999,-0.779,-0.7909999999999999,2.155,1.9409999999999998,7.196000000000001,6.22,7.087000000000001,6.119,0
30,no_act_2(30),-0.815,-0.8320000000000001,-0.8029999999999999,-0.8109999999999999,-0.785,2.0269999999999997,1.804,7.002000000000001,6.072,7.011,5.92,0
31,no_act_2(31),-0.8079999999999999,-0.838,-0.795,-0.804,-0.784,1.89,1.811,7.0729999999999995,6.415,6.968999999999999,6.356,0
32,no_act_2(32),-0.825,-0.802,-0.7909999999999999,-0.794,-0.7879999999999999,1.911,1.7630000000000001,7.289,6.739,7.314,6.625,0
33,no_act_2(33),-0.9159999999999999,-0.769,-0.7759999999999999,-0.8,-0.777,2.113,1.8980000000000001,7.125,6.452999999999999,7.162999999999999,6.52,0
34,no_act_2(34),-0.904,-0.8270000000000001,-0.773,-0.78,-0.792,2.0869999999999997,1.96,6.9910000000000005,6.0889999999999995,6.921,6.03,0
35,no_act_2(35),-0.917,-0.7859999999999999,-0.7979999999999999,-0.757,-0.78,2.116,1.905,6.636,6.145,6.675,5.917000000000001,0
36,no_act_2(36),-0.912,-0.759,-0.8109999999999999,-0.7909999999999999,-0.7659999999999999,2.1319999999999997,1.849,6.551,5.811,6.542000000000001,5.877999999999999,0
37,no_act_2(37),-0.8,-0.8029999999999999,-0.816,-0.7979999999999999,-0.828,2.14,2.032,6.5489999999999995,5.904,6.513,6.117000000000001,0
38,no_act_2(38),-0.8370000000000001,-0.8009999999999999,-0.784,-0.799,-0.7979999999999999,2.156,1.959,6.468999999999999,6.185,6.4639999999999995,6.242000000000001,0
39,no_act_2(39),-0.894,-0.779,-0.7909999999999999,-0.779,-0.7759999999999999,2.113,1.9069999999999998,6.7379999999999995,6.143,6.696000000000001,6.144,0
40,no_act_2(40),-0.792,-0.852,-0.821,-0.8,-0.802,2.077,1.8719999999999999,6.778,6.077999999999999,6.755,6.077999999999999,0
41,no_act_2(41),-0.8290000000000001,-0.813,-0.813,-0.8240000000000001,-0.775,2.033,1.806,6.505,6.007000000000001,6.437,5.9110000000000005,0
42,no_act_2(42),-0.852,-0.799,-0.763,-0.76,-0.828,1.889,1.8119999999999998,6.7139999999999995,6.064,6.5520000000000005,6.07,0
43,no_act_2(43),-0.8440000000000001,-0.8270000000000001,-0.765,-0.8,-0.807,1.8769999999999998,1.696,7.099,6.504,7.065,6.529,0
44,no_act_2(44),-0.882,-0.8220000000000001,-0.8079999999999999,-0.764,-0.795,2.016,1.881,6.499,5.949,6.4110000000000005,6.063,0
45,no_act_2(45),-0.91,-0.8140000000000001,-0.785,-0.805,-0.809,2.002,1.944,6.727,5.901,6.5520000000000005,6.032,0
46,no_act_2(46),-0.9059999999999999,-0.8140000000000001,-0.802,-0.804,-0.7859999999999999,2.1719999999999997,1.9769999999999999,7.042999999999999,6.357,6.933,6.471,0
