title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/input_noactivity_2(0),2.171,1.912,6.639,6.533,6.686,6.343,0
no_act/input_noactivity_2(1),2.081,1.925,6.826,6.293,6.777,6.218,0
no_act/input_noactivity_2(2),2.046,1.823,6.464,5.955,6.397,6.044,0
no_act/input_noactivity_2(3),1.957,1.82,6.847,5.989,6.859,6.065,0
no_act/input_noactivity_2(4),1.937,1.82,6.922,6.522,6.834,6.422,0
no_act/input_noactivity_2(5),2.103,1.963,6.762,6.632,6.837,6.377,0
no_act/input_noactivity_2(6),2.168,1.989,6.877,6.323,6.825,6.208,0
no_act/input_noactivity_2(7),2.031,1.828,6.61,6.36,6.606,6.174,0
no_act/input_noactivity_2(8),2.142,1.847,6.766,6.516,6.658,6.561,0
no_act/input_noactivity_2(9),2.109,1.96,6.75,6.349,6.636,6.302,0
no_act/input_noactivity_2(10),2.053,1.828,6.755,6.155,6.705,6.18,0
no_act/input_noactivity_2(11),1.968,1.788,6.96,5.848,7.113,5.952,0
no_act/input_noactivity_2(12),2.082,1.978,6.7,6.312,6.799,6.357,0
no_act/input_noactivity_2(13),2.311,2.06,7.216,6.435,7.16,6.384,0
no_act/input_noactivity_2(14),2.167,1.93,6.67,6.433,6.646,6.368,0
no_act/input_noactivity_2(15),2.09,1.945,6.744,5.819,6.837,5.766,0
no_act/input_noactivity_2(16),2.208,1.92,6.535,6.351,6.701,6.308,0
no_act/input_noactivity_2(17),2.266,2.107,6.979,6.365,6.976,6.353,0
no_act/input_noactivity_2(18),2.112,2.001,6.701,6.202,6.627,6.245,0
no_act/input_noactivity_2(19),2.021,1.899,6.922,6.095,6.984,5.975,0
no_act/input_noactivity_2(20),2.025,1.978,7.447,6.064,7.41,6.151,0
no_act/input_noactivity_2(21),1.855,1.792,7.027,6.437,7.049,6.586,0
no_act/input_noactivity_2(22),2.009,1.83,6.839,5.957,6.937,5.815,0
no_act/input_noactivity_2(23),2.064,1.982,6.951,5.647,7.041,5.561,0
no_act/input_noactivity_2(24),2.07,1.953,6.53,6.281,6.737,6.2,0
no_act/input_noactivity_2(25),2.011,1.95,7.183,6.373,7.264,6.286,0
no_act/input_noactivity_2(26),2.18,1.932,6.971,6.278,6.995,6.12,0
no_act/input_noactivity_2(27),2.21,1.9,6.846,5.939,6.812,5.947,0
