title,A_1,A_2,A_3,A_4,A_5,Y
no_act_2(0),-0.972,-0.842,-0.791,-0.818,-0.787,0
no_act_2(1),-0.966,-0.819,-0.792,-0.816,-0.811,0
no_act_2(2),-0.964,-0.823,-0.804,-0.824,-0.805,0
no_act_2(3),-0.958,-0.835,-0.781,-0.843,-0.76,0
no_act_2(4),-0.945,-0.836,-0.763,-0.83,-0.788,0
no_act_2(5),-0.93,-0.846,-0.805,-0.808,-0.793,0
no_act_2(6),-0.961,-0.846,-0.778,-0.782,-0.824,0
no_act_2(7),-0.964,-0.851,-0.812,-0.803,-0.766,0
no_act_2(8),-0.963,-0.839,-0.79,-0.831,-0.749,0
no_act_2(9),-0.933,-0.837,-0.804,-0.815,-0.794,0
no_act_2(10),-0.833,-0.937,-0.812,-0.772,-0.792,0
no_act_2(11),-0.975,-0.83,-0.807,-0.808,-0.817,0
no_act_2(12),-0.971,-0.833,-0.829,-0.795,-0.773,0
no_act_2(13),-0.966,-0.834,-0.762,-0.792,-0.824,0
no_act_2(14),-0.959,-0.833,-0.804,-0.799,-0.828,0
no_act_2(15),-0.934,-0.838,-0.783,-0.799,-0.828,0
no_act_2(16),-0.921,-0.85,-0.802,-0.796,-0.781,0
no_act_2(17),-0.928,-0.851,-0.818,-0.776,-0.789,0
no_act_2(18),-0.943,-0.834,-0.796,-0.791,-0.768,0
no_act_2(19),-0.966,-0.83,-0.767,-0.813,-0.782,0
no_act_2(20),-0.943,-0.846,-0.798,-0.785,-0.78,0
no_act_2(21),-0.839,-0.945,-0.779,-0.786,-0.791,0
no_act_2(22),-0.969,-0.841,-0.801,-0.81,-0.827,0
no_act_2(23),-0.974,-0.83,-0.806,-0.813,-0.796,0
no_act_2(24),-0.971,-0.834,-0.833,-0.789,-0.764,0
no_act_2(25),-0.966,-0.84,-0.774,-0.818,-0.768,0
no_act_2(26),-0.965,-0.831,-0.744,-0.796,-0.783,0
no_act_2(27),-0.972,-0.826,-0.755,-0.817,-0.796,0
no_act_2(28),-0.97,-0.828,-0.811,-0.796,-0.794,0
no_act_2(29),-0.969,-0.831,-0.778,-0.814,-0.786,0
no_act_2(30),-0.833,-0.965,-0.771,-0.762,-0.822,0
no_act_2(31),-0.937,-0.851,-0.788,-0.823,-0.804,0
no_act_2(32),-0.84,-0.95,-0.811,-0.81,-0.771,0
no_act_2(33),-0.971,-0.837,-0.766,-0.785,-0.783,0
no_act_2(34),-0.967,-0.831,-0.795,-0.808,-0.777,0
no_act_2(35),-0.973,-0.843,-0.813,-0.802,-0.8,0
no_act_2(36),-0.966,-0.841,-0.814,-0.78,-0.805,0
no_act_2(37),-0.823,-0.948,-0.769,-0.784,-0.776,0
no_act_2(38),-0.914,-0.84,-0.768,-0.769,-0.765,0
no_act_2(39),-0.958,-0.838,-0.769,-0.79,-0.821,0
no_act_2(40),-0.922,-0.857,-0.788,-0.78,-0.795,0
no_act_2(41),-0.888,-0.865,-0.793,-0.793,-0.801,0
no_act_2(42),-0.966,-0.832,-0.808,-0.784,-0.841,0
no_act_2(43),-0.838,-0.935,-0.815,-0.801,-0.793,0
no_act_2(44),-0.97,-0.819,-0.81,-0.821,-0.812,0
no_act_2(45),-0.965,-0.843,-0.829,-0.802,-0.804,0
no_act_2(46),-0.97,-0.847,-0.829,-0.793,-0.81,0
no_act_2(47),-0.972,-0.84,-0.79,-0.804,-0.831,0
no_act_2(48),-0.948,-0.841,-0.823,-0.835,-0.767,0
no_act_2(49),-0.857,-0.906,-0.795,-0.815,-0.787,0
no_act_2(50),-0.954,-0.831,-0.778,-0.815,-0.827,0
no_act_2(51),-0.961,-0.825,-0.769,-0.813,-0.791,0
no_act_2(52),-0.877,-0.879,-0.788,-0.806,-0.79,0
no_act_2(53),-0.961,-0.842,-0.783,-0.79,-0.826,0
no_act_2(54),-0.841,-0.934,-0.76,-0.824,-0.837,0
no_act_2(55),-0.976,-0.832,-0.795,-0.785,-0.834,0
no_act_2(56),-0.971,-0.83,-0.886,-0.77,-0.816,0
no_act_2(57),-0.964,-0.837,-0.886,-0.773,-0.818,0
no_act_2(58),-0.959,-0.837,-0.78,-0.784,-0.795,0
no_act_2(59),-0.963,-0.835,-0.775,-0.795,-0.814,0
no_act_2(60),-0.967,-0.831,-0.759,-0.795,-0.816,0
no_act_2(61),-0.962,-0.824,-0.805,-0.776,-0.816,0
no_act_2(62),-0.966,-0.836,-0.782,-0.767,-0.773,0
no_act_2(63),-0.96,-0.831,-0.782,-0.797,-0.8,0
no_act_2(64),-0.956,-0.83,-0.786,-0.786,-0.799,0
no_act_2(65),-0.835,-0.923,-0.76,-0.811,-0.818,0
no_act_2(66),-0.979,-0.84,-0.798,-0.824,-0.792,0
no_act_2(67),-0.972,-0.84,-0.796,-0.785,-0.777,0
no_act_2(68),-0.969,-0.847,-0.831,-0.784,-0.758,0
no_act_2(69),-0.975,-0.842,-0.821,-0.806,-0.803,0
no_act_2(70),-0.952,-0.838,-0.802,-0.782,-0.822,0
no_act_2(71),-0.946,-0.835,-0.787,-0.778,-0.798,0
no_act_2(72),-0.968,-0.837,-0.787,-0.804,-0.804,0
no_act_2(73),-0.965,-0.847,-0.781,-0.788,-0.822,0
no_act_2(74),-0.84,-0.948,-0.803,-0.821,-0.783,0
no_act_2(75),-0.859,-0.9,-0.836,-0.794,-0.792,0
no_act_2(76),-0.826,-0.939,-0.786,-0.803,-0.802,0
no_act_2(77),-0.97,-0.833,-0.816,-0.841,-0.835,0
no_act_2(78),-0.971,-0.829,-0.802,-0.81,-0.798,0
no_act_2(79),-0.962,-0.838,-0.806,-0.814,-0.815,0
no_act_2(80),-0.923,-0.847,-0.819,-0.833,-0.797,0
no_act_2(81),-0.855,-0.913,-0.792,-0.814,-0.813,0
no_act_2(82),-0.847,-0.923,-0.77,-0.78,-0.769,0
no_act_2(83),-0.884,-0.851,-0.779,-0.775,-0.816,0
no_act_2(84),-0.927,-0.828,-0.77,-0.764,-0.804,0
no_act_2(85),-0.826,-0.947,-0.793,-0.825,-0.826,0
no_act_2(86),-0.957,-0.845,-0.786,-0.815,-0.809,0
no_act_2(87),-0.84,-0.953,-0.793,-0.793,-0.783,0
no_act_2(88),-0.969,-0.83,-0.802,-0.812,-0.829,0
no_act_2(89),-0.972,-0.836,-0.764,-0.79,-0.807,0
no_act_2(90),-0.97,-0.837,-0.793,-0.784,-0.797,0
no_act_2(91),-0.835,-0.93,-0.78,-0.809,-0.82,0
no_act_2(92),-0.826,-0.923,-0.754,-0.775,-0.805,0
no_act_2(93),-0.851,-0.911,-0.789,-0.778,-0.793,0
no_act_2(94),-0.938,-0.836,-0.797,-0.779,-0.773,0
no_act_2(95),-0.965,-0.811,-0.786,-0.824,-0.796,0
no_act_2(96),-0.96,-0.816,-0.768,-0.801,-0.775,0
no_act_2(97),-0.966,-0.835,-0.801,-0.797,-0.771,0
no_act_2(98),-0.842,-0.919,-0.828,-0.806,-0.804,0
no_act_2(99),-0.966,-0.835,-0.833,-0.8,-0.767,0
no_act_2(100),-0.977,-0.836,-0.794,-0.819,-0.793,0
no_act_2(101),-0.975,-0.83,-0.828,-0.813,-0.829,0
no_act_2(102),-0.968,-0.839,-0.768,-0.795,-0.792,0
no_act_2(103),-0.91,-0.857,-0.759,-0.768,-0.829,0
no_act_2(104),-0.951,-0.841,-0.788,-0.787,-0.791,0
no_act_2(105),-0.969,-0.838,-0.777,-0.789,-0.795,0
no_act_2(106),-0.958,-0.846,-0.769,-0.788,-0.782,0
no_act_2(107),-0.957,-0.857,-0.785,-0.791,-0.766,0
no_act_2(108),-0.965,-0.84,-0.774,-0.825,-0.767,0
no_act_2(109),-0.833,-0.938,-0.763,-0.815,-0.827,0
no_act_2(110),-0.978,-0.834,-0.777,-0.784,-0.802,0
no_act_2(111),-0.973,-0.837,-0.82,-0.808,-0.769,0
no_act_2(112),-0.977,-0.837,-0.762,-0.819,-0.803,0
no_act_2(113),-0.972,-0.821,-0.778,-0.818,-0.772,0
no_act_2(114),-0.882,-0.873,-0.762,-0.767,-0.81,0
no_act_2(115),-0.876,-0.868,-0.798,-0.8,-0.773,0
no_act_2(116),-0.961,-0.827,-0.796,-0.826,-0.831,0
no_act_2(117),-0.953,-0.841,-0.794,-0.824,-0.789,0
no_act_2(118),-0.939,-0.839,-0.776,-0.789,-0.812,0
no_act_2(119),-0.929,-0.852,-0.785,-0.839,-0.792,0
no_act_2(120),-0.843,-0.942,-0.781,-0.82,-0.803,0
no_act_2(121),-0.961,-0.84,-0.796,-0.829,-0.778,0
no_act_2(122),-0.966,-0.834,-0.825,-0.775,-0.804,0
no_act_2(123),-0.973,-0.831,-0.789,-0.818,-0.817,0
no_act_2(124),-0.973,-0.827,-0.797,-0.776,-0.801,0
no_act_2(125),-0.966,-0.834,-0.779,-0.832,-0.778,0
no_act_2(126),-0.939,-0.845,-0.825,-0.819,-0.797,0
no_act_2(127),-0.96,-0.839,-0.8,-0.838,-0.787,0
no_act_2(128),-0.963,-0.838,-0.762,-0.798,-0.82,0
no_act_2(129),-0.884,-0.88,-0.794,-0.771,-0.805,0
no_act_2(130),-0.924,-0.838,-0.813,-0.773,-0.803,0
no_act_2(131),-0.905,-0.84,-0.769,-0.81,-0.791,0
no_act_2(132),-0.981,-0.83,-0.807,-0.78,-0.829,0
no_act_2(133),-0.974,-0.828,-0.79,-0.821,-0.834,0
no_act_2(134),-0.963,-0.845,-0.792,-0.778,-0.772,0
no_act_2(135),-0.974,-0.845,-0.771,-0.809,-0.828,0
no_act_2(136),-0.963,-0.833,-0.792,-0.805,-0.814,0
no_act_2(137),-0.857,-0.902,-0.835,-0.799,-0.782,0
no_act_2(138),-0.885,-0.881,-0.781,-0.814,-0.813,0
