title,A_1,A_2,A_3,A_4,A_5,Y
no_act_2(0),-0.823,-0.807,-0.806,-0.761,-0.765,0
no_act_2(1),-0.776,-0.813,-0.811,-0.78,-0.797,0
no_act_2(2),-0.788,-0.793,-0.804,-0.801,-0.834,0
no_act_2(3),-0.812,-0.808,-0.797,-0.822,-0.75,0
no_act_2(4),-0.75,-0.823,-0.82,-0.826,-0.759,0
no_act_2(5),-0.809,-0.788,-0.792,-0.822,-0.817,0
no_act_2(6),-0.823,-0.794,-0.802,-0.8,-0.792,0
no_act_2(7),-0.807,-0.806,-0.777,-0.766,-0.819,0
no_act_2(8),-0.788,-0.785,-0.769,-0.802,-0.831,0
no_act_2(9),-0.777,-0.782,-0.806,-0.772,-0.789,0
no_act_2(10),-0.823,-0.806,-0.799,-0.81,-0.774,0
no_act_2(11),-0.857,-0.787,-0.759,-0.765,-0.805,0
no_act_2(12),-0.846,-0.776,-0.777,-0.781,-0.809,0
no_act_2(13),-0.766,-0.811,-0.801,-0.785,-0.791,0
no_act_2(14),-0.802,-0.776,-0.787,-0.762,-0.771,0
no_act_2(15),-0.772,-0.823,-0.82,-0.821,-0.758,0
no_act_2(16),-0.828,-0.785,-0.818,-0.773,-0.847,0
no_act_2(17),-0.818,-0.817,-0.772,-0.824,-0.806,0
no_act_2(18),-0.805,-0.797,-0.811,-0.776,-0.79,0
no_act_2(19),-0.826,-0.795,-0.802,-0.8,-0.789,0
no_act_2(20),-0.819,-0.783,-0.837,-0.796,-0.797,0
no_act_2(21),-0.821,-0.828,-0.808,-0.836,-0.777,0
no_act_2(22),-0.802,-0.823,-0.831,-0.799,-0.83,0
no_act_2(23),-0.794,-0.832,-0.835,-0.829,-0.852,0
no_act_2(24),-0.827,-0.817,-0.796,-0.779,-0.8,0
no_act_2(25),-0.792,-0.836,-0.788,-0.828,-0.752,0
no_act_2(26),-0.83,-0.808,-0.793,-0.832,-0.787,0
no_act_2(27),-0.845,-0.795,-0.807,-0.791,-0.857,0
no_act_2(28),-0.852,-0.793,-0.831,-0.81,-0.834,0
no_act_2(29),-0.797,-0.805,-0.857,-0.835,-0.811,0
no_act_2(30),-0.794,-0.824,-0.796,-0.829,-0.791,0
no_act_2(31),-0.839,-0.817,-0.791,-0.805,-0.837,0
no_act_2(32),-0.823,-0.8,-0.791,-0.821,-0.807,0
no_act_2(33),-0.796,-0.81,-0.782,-0.838,-0.775,0
no_act_2(34),-0.79,-0.784,-0.801,-0.766,-0.811,0
no_act_2(35),-0.784,-0.824,-0.796,-0.798,-0.813,0
no_act_2(36),-0.776,-0.838,-0.775,-0.798,-0.786,0
no_act_2(37),-0.836,-0.804,-0.803,-0.769,-0.808,0
no_act_2(38),-0.788,-0.825,-0.801,-0.801,-0.813,0
no_act_2(39),-0.825,-0.782,-0.807,-0.77,-0.779,0
no_act_2(40),-0.824,-0.783,-0.788,-0.761,-0.814,0
no_act_2(41),-0.821,-0.798,-0.772,-0.8,-0.82,0
no_act_2(42),-0.799,-0.762,-0.807,-0.804,-0.827,0
no_act_2(43),-0.76,-0.834,-0.803,-0.776,-0.802,0
no_act_2(44),-0.783,-0.837,-0.855,-0.743,-0.817,0
no_act_2(45),-0.798,-0.786,-0.8,-0.768,-0.792,0
no_act_2(46),-0.823,-0.81,-0.848,-0.818,-0.816,0
no_act_2(47),-0.807,-0.779,-0.798,-0.815,-0.775,0
no_act_2(48),-0.77,-0.757,-0.812,-0.78,-0.801,0
no_act_2(49),-0.784,-0.814,-0.757,-0.785,-0.781,0
no_act_2(50),-0.778,-0.773,-0.788,-0.806,-0.805,0
no_act_2(51),-0.783,-0.803,-0.79,-0.744,-0.824,0
no_act_2(52),-0.808,-0.789,-0.843,-0.773,-0.779,0
no_act_2(53),-0.842,-0.809,-0.86,-0.791,-0.754,0
no_act_2(54),-0.784,-0.787,-0.823,-0.783,-0.787,0
no_act_2(55),-0.758,-0.848,-0.763,-0.801,-0.836,0
no_act_2(56),-0.835,-0.839,-0.812,-0.791,-0.792,0
no_act_2(57),-0.788,-0.78,-0.779,-0.782,-0.809,0
no_act_2(58),-0.815,-0.774,-0.79,-0.783,-0.755,0
no_act_2(59),-0.824,-0.797,-0.804,-0.804,-0.81,0
no_act_2(60),-0.861,-0.784,-0.831,-0.791,-0.817,0
no_act_2(61),-0.823,-0.785,-0.812,-0.811,-0.793,0
no_act_2(62),-0.853,-0.771,-0.788,-0.799,-0.801,0
no_act_2(63),-0.829,-0.765,-0.805,-0.803,-0.799,0
no_act_2(64),-0.805,-0.781,-0.812,-0.795,-0.826,0
no_act_2(65),-0.809,-0.822,-0.772,-0.787,-0.782,0
no_act_2(66),-0.832,-0.81,-0.8,-0.775,-0.809,0
no_act_2(67),-0.834,-0.773,-0.789,-0.793,-0.822,0
no_act_2(68),-0.792,-0.839,-0.83,-0.778,-0.787,0
no_act_2(69),-0.825,-0.801,-0.753,-0.821,-0.803,0
no_act_2(70),-0.784,-0.798,-0.777,-0.8,-0.844,0
no_act_2(71),-0.79,-0.786,-0.804,-0.802,-0.815,0
no_act_2(72),-0.79,-0.814,-0.808,-0.77,-0.803,0
no_act_2(73),-0.808,-0.806,-0.779,-0.804,-0.824,0
no_act_2(74),-0.825,-0.773,-0.786,-0.8,-0.812,0
no_act_2(75),-0.807,-0.828,-0.826,-0.831,-0.798,0
no_act_2(76),-0.828,-0.841,-0.805,-0.833,-0.787,0
no_act_2(77),-0.788,-0.809,-0.786,-0.787,-0.82,0
no_act_2(78),-0.791,-0.795,-0.798,-0.818,-0.78,0
no_act_2(79),-0.851,-0.805,-0.768,-0.809,-0.827,0
no_act_2(80),-0.834,-0.809,-0.792,-0.748,-0.81,0
no_act_2(81),-0.8,-0.769,-0.783,-0.796,-0.8,0
no_act_2(82),-0.778,-0.792,-0.813,-0.795,-0.787,0
no_act_2(83),-0.787,-0.77,-0.874,-0.775,-0.788,0
no_act_2(84),-0.789,-0.772,-0.829,-0.832,-0.813,0
no_act_2(85),-0.83,-0.787,-0.794,-0.803,-0.795,0
no_act_2(86),-0.806,-0.807,-0.799,-0.808,-0.772,0
no_act_2(87),-0.792,-0.759,-0.818,-0.766,-0.814,0
no_act_2(88),-0.827,-0.783,-0.84,-0.777,-0.776,0
no_act_2(89),-0.784,-0.82,-0.813,-0.806,-0.834,0
no_act_2(90),-0.819,-0.804,-0.767,-0.79,-0.817,0
no_act_2(91),-0.817,-0.81,-0.779,-0.807,-0.801,0
no_act_2(92),-0.796,-0.787,-0.809,-0.84,-0.807,0
no_act_2(93),-0.826,-0.825,-0.796,-0.822,-0.787,0
no_act_2(94),-0.781,-0.783,-0.798,-0.788,-0.775,0
no_act_2(95),-0.783,-0.795,-0.842,-0.804,-0.808,0
no_act_2(96),-0.821,-0.788,-0.784,-0.824,-0.788,0
no_act_2(97),-0.838,-0.848,-0.821,-0.807,-0.777,0
no_act_2(98),-0.852,-0.772,-0.862,-0.807,-0.807,0
no_act_2(99),-0.764,-0.808,-0.757,-0.806,-0.82,0
no_act_2(100),-0.756,-0.782,-0.842,-0.801,-0.745,0
no_act_2(101),-0.792,-0.778,-0.789,-0.796,-0.751,0
no_act_2(102),-0.82,-0.768,-0.802,-0.793,-0.756,0
no_act_2(103),-0.83,-0.799,-0.776,-0.803,-0.817,0
no_act_2(104),-0.816,-0.801,-0.822,-0.823,-0.766,0
