,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
0,no_act/19A_noactivity_7(0),-0.982,-0.818,-0.758,-0.768,-0.774,10.654000000000002,9.92,2.211,2.061,10.211,9.283999999999999,0
1,no_act/19A_noactivity_7(1),-0.981,-0.823,-0.773,-0.8059999999999999,-0.8029999999999999,10.491,9.679,2.146,2.108,9.996,9.023,0
2,no_act/19A_noactivity_7(2),-0.9840000000000001,-0.836,-0.8029999999999999,-0.789,-0.774,11.017000000000001,9.082,2.281,2.089,10.488,8.545,0
3,no_act/19A_noactivity_7(3),-0.988,-0.816,-0.802,-0.81,-0.8170000000000001,10.353,9.709,2.427,2.146,10.065,9.007,0
4,no_act/19A_noactivity_7(4),-0.987,-0.815,-0.8140000000000001,-0.772,-0.809,10.704,9.597999999999999,2.3609999999999998,2.217,10.142999999999999,9.033,0
5,no_act/19A_noactivity_7(5),-0.985,-0.8190000000000001,-0.7879999999999999,-0.795,-0.8009999999999999,10.201,9.87,2.31,2.2,9.604,9.324,0
6,no_act/19A_noactivity_7(6),-0.983,-0.8109999999999999,-0.82,-0.866,-0.789,10.53,9.666,2.253,2.1919999999999997,9.846,9.154,0
7,no_act/19A_noactivity_7(7),-0.977,-0.8240000000000001,-0.8190000000000001,-0.8340000000000001,-0.775,10.735999999999999,9.681000000000001,2.3,2.115,9.892000000000001,9.24,0
8,no_act/19A_noactivity_7(8),-0.976,-0.861,-0.792,-0.7979999999999999,-0.833,11.536,9.04,2.3,2.134,10.779000000000002,8.613,0
9,no_act/19A_noactivity_7(9),-0.98,-0.841,-0.799,-0.7829999999999999,-0.804,11.591,8.963,2.245,2.1630000000000003,10.875,8.524,0
10,no_act/19A_noactivity_7(10),-0.9790000000000001,-0.8220000000000001,-0.762,-0.8059999999999999,-0.8220000000000001,10.743,9.72,2.4090000000000003,1.956,9.87,9.285,0
11,no_act/19A_noactivity_7(11),-0.981,-0.851,-0.802,-0.779,-0.7929999999999999,10.887,9.573,2.329,2.128,10.257,9.074,0
12,no_act/19A_noactivity_7(12),-0.982,-0.84,-0.8079999999999999,-0.836,-0.818,10.367,9.699,2.2230000000000003,2.0469999999999997,9.645,9.318,0
13,no_act/19A_noactivity_7(13),-0.986,-0.83,-0.833,-0.777,-0.83,10.929,9.193,2.287,1.962,10.062000000000001,8.918,0
14,no_act/19A_noactivity_7(14),-0.983,-0.828,-0.823,-0.792,-0.843,10.966,9.521,2.454,2.075,10.177,9.16,0
15,no_act/19A_noactivity_7(15),-0.978,-0.8140000000000001,-0.794,-0.809,-0.8009999999999999,10.443,9.968,2.4530000000000003,2.187,9.695,9.458,0
16,no_act/19A_noactivity_7(16),-0.98,-0.8170000000000001,-0.838,-0.8290000000000001,-0.794,10.689,9.88,2.251,2.073,10.14,9.289,0
17,no_act/19A_noactivity_7(17),-0.977,-0.83,-0.855,-0.8009999999999999,-0.845,10.749,9.764,2.274,2.0709999999999997,10.037,9.41,0
18,no_act/19A_noactivity_7(18),-0.973,-0.8270000000000001,-0.812,-0.84,-0.8079999999999999,10.147,10.048,2.17,2.13,9.728,9.368,0
19,no_act/19A_noactivity_7(19),-0.985,-0.802,-0.84,-0.8140000000000001,-0.7959999999999999,10.378,9.639,2.202,2.145,9.865,9.011000000000001,0
20,no_act/19A_noactivity_7(20),-0.987,-0.8009999999999999,-0.8140000000000001,-0.7829999999999999,-0.7929999999999999,10.707,9.457,2.12,2.0,10.232000000000001,8.881,0
21,no_act/19A_noactivity_7(21),-0.98,-0.8059999999999999,-0.8140000000000001,-0.802,-0.807,11.002,9.555,2.306,2.011,10.573,8.894,0
22,no_act/19A_noactivity_7(22),-0.9840000000000001,-0.8290000000000001,-0.813,-0.802,-0.78,10.408,10.024,2.403,2.125,9.69,9.482999999999999,0
23,no_act/19A_noactivity_7(23),-0.982,-0.836,-0.7959999999999999,-0.767,-0.81,10.447000000000001,9.83,2.228,1.9669999999999999,9.878,9.341000000000001,0
24,no_act/19A_noactivity_7(24),-0.981,-0.807,-0.8390000000000001,-0.784,-0.794,10.755,9.652999999999999,2.19,2.074,10.197000000000001,9.225,0
25,no_act/19A_noactivity_7(25),-0.978,-0.813,-0.8059999999999999,-0.78,-0.79,10.712,9.824,2.375,2.074,10.097000000000001,9.192,0
26,no_act/19A_noactivity_7(26),-0.982,-0.8190000000000001,-0.8029999999999999,-0.82,-0.772,11.009,9.447000000000001,2.37,2.048,10.312000000000001,8.907,0
