title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/19A_noactivity_7(0),10.654,9.92,2.211,2.061,10.211,9.284,0
no_act/19A_noactivity_7(1),10.491,9.679,2.146,2.108,9.996,9.023,0
no_act/19A_noactivity_7(2),11.017,9.082,2.281,2.089,10.488,8.545,0
no_act/19A_noactivity_7(3),10.353,9.709,2.427,2.146,10.065,9.007,0
no_act/19A_noactivity_7(4),10.704,9.598,2.361,2.217,10.143,9.033,0
no_act/19A_noactivity_7(5),10.201,9.87,2.31,2.2,9.604,9.324,0
no_act/19A_noactivity_7(6),10.53,9.666,2.253,2.192,9.846,9.154,0
no_act/19A_noactivity_7(7),10.736,9.681,2.3,2.115,9.892,9.24,0
no_act/19A_noactivity_7(8),11.536,9.04,2.3,2.134,10.779,8.613,0
no_act/19A_noactivity_7(9),11.591,8.963,2.245,2.163,10.875,8.524,0
no_act/19A_noactivity_7(10),10.743,9.72,2.409,1.956,9.87,9.285,0
no_act/19A_noactivity_7(11),10.887,9.573,2.329,2.128,10.257,9.074,0
no_act/19A_noactivity_7(12),10.367,9.699,2.223,2.047,9.645,9.318,0
no_act/19A_noactivity_7(13),10.929,9.193,2.287,1.962,10.062,8.918,0
no_act/19A_noactivity_7(14),10.966,9.521,2.454,2.075,10.177,9.16,0
no_act/19A_noactivity_7(15),10.443,9.968,2.453,2.187,9.695,9.458,0
no_act/19A_noactivity_7(16),10.689,9.88,2.251,2.073,10.14,9.289,0
no_act/19A_noactivity_7(17),10.749,9.764,2.274,2.071,10.037,9.41,0
no_act/19A_noactivity_7(18),10.147,10.048,2.17,2.13,9.728,9.368,0
no_act/19A_noactivity_7(19),10.378,9.639,2.202,2.145,9.865,9.011,0
no_act/19A_noactivity_7(20),10.707,9.457,2.12,2.0,10.232,8.881,0
no_act/19A_noactivity_7(21),11.002,9.555,2.306,2.011,10.573,8.894,0
no_act/19A_noactivity_7(22),10.408,10.024,2.403,2.125,9.69,9.483,0
no_act/19A_noactivity_7(23),10.447,9.83,2.228,1.967,9.878,9.341,0
no_act/19A_noactivity_7(24),10.755,9.653,2.19,2.074,10.197,9.225,0
no_act/19A_noactivity_7(25),10.712,9.824,2.375,2.074,10.097,9.192,0
no_act/19A_noactivity_7(26),11.009,9.447,2.37,2.048,10.312,8.907,0
no_act/19A_noactivity_7(27),10.924,9.463,2.32,2.096,10.386,8.9,0
no_act/19A_noactivity_7(28),10.393,9.748,2.238,2.204,9.843,9.162,0
no_act/19A_noactivity_7(29),10.741,9.532,2.237,2.179,10.044,9.029,0
no_act/19A_noactivity_7(30),10.742,9.582,2.337,2.145,9.877,9.036,0
no_act/19A_noactivity_7(31),10.396,9.814,2.313,2.135,9.76,9.026,0
no_act/19A_noactivity_7(32),10.653,9.9,2.255,2.142,9.962,9.21,0
no_act/19A_noactivity_7(33),11.434,9.373,2.423,2.14,10.382,9.039,0
no_act/19A_noactivity_7(34),10.482,9.822,2.308,2.094,10.028,9.017,0
no_act/19A_noactivity_7(35),10.434,9.678,2.14,1.813,9.961,9.063,0
no_act/19A_noactivity_7(36),10.966,9.269,2.126,1.977,10.22,8.767,0
no_act/19A_noactivity_7(37),10.922,9.422,2.268,2.206,10.263,8.788,0
no_act/19A_noactivity_7(38),11.048,9.556,2.362,2.109,10.313,9.014,0
no_act/19A_noactivity_7(39),11.437,9.078,2.413,1.958,10.494,8.698,0
no_act/19A_noactivity_7(40),11.333,9.284,2.317,2.14,10.625,8.763,0
no_act/19A_noactivity_7(41),11.017,9.531,2.282,2.085,10.524,8.949,0
no_act/19A_noactivity_7(42),10.308,9.982,2.331,2.066,9.698,9.327,0
no_act/19A_noactivity_7(43),10.427,9.807,2.344,2.062,9.839,9.016,0
no_act/19A_noactivity_7(44),10.539,10.261,2.269,2.05,10.008,9.639,0
no_act/19A_noactivity_7(45),10.604,10.136,2.307,2.06,10.021,9.544,0
no_act/19A_noactivity_7(46),10.795,9.821,2.236,2.069,10.157,9.293,0
no_act/19A_noactivity_7(47),10.681,9.738,2.311,1.988,9.782,9.375,0
no_act/19A_noactivity_7(48),10.699,9.675,2.228,1.961,9.84,9.246,0
no_act/19A_noactivity_7(49),10.548,9.794,2.117,1.973,9.866,9.164,0
no_act/19A_noactivity_7(50),10.563,9.916,2.186,2.058,9.825,9.361,0
no_act/19A_noactivity_7(51),10.247,10.17,2.214,2.134,9.691,9.484,0
no_act/19A_noactivity_7(52),10.625,9.834,2.284,2.089,10.039,9.18,0
no_act/19A_noactivity_7(53),10.636,10.045,2.283,2.096,10.052,9.289,0
no_act/19A_noactivity_7(54),10.75,9.927,2.12,2.086,10.193,9.285,0
no_act/19A_noactivity_7(55),11.107,9.658,2.281,2.15,10.522,8.97,0
no_act/19A_noactivity_7(56),10.755,9.85,2.298,2.093,10.337,9.126,0
no_act/19A_noactivity_7(57),10.948,9.579,2.225,2.038,10.531,8.886,0
no_act/19A_noactivity_7(58),11.317,9.278,2.294,2.04,10.664,8.687,0
no_act/19A_noactivity_7(59),10.924,9.595,2.226,2.116,10.334,9.021,0
no_act/19A_noactivity_7(60),10.342,9.978,2.376,2.016,9.812,9.504,0
no_act/19A_noactivity_7(61),10.803,9.615,2.332,2.204,10.113,9.119,0
