title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(0),-0.982,-0.818,-0.758,-0.768,-0.774,0
no_act/19A_noactivity_7(1),-0.981,-0.823,-0.773,-0.806,-0.803,0
no_act/19A_noactivity_7(2),-0.984,-0.836,-0.803,-0.789,-0.774,0
no_act/19A_noactivity_7(3),-0.988,-0.816,-0.802,-0.81,-0.817,0
no_act/19A_noactivity_7(4),-0.987,-0.815,-0.814,-0.772,-0.809,0
no_act/19A_noactivity_7(5),-0.985,-0.819,-0.788,-0.795,-0.801,0
no_act/19A_noactivity_7(6),-0.983,-0.811,-0.82,-0.866,-0.789,0
no_act/19A_noactivity_7(7),-0.977,-0.824,-0.819,-0.834,-0.775,0
no_act/19A_noactivity_7(8),-0.976,-0.861,-0.792,-0.798,-0.833,0
no_act/19A_noactivity_7(9),-0.98,-0.841,-0.799,-0.783,-0.804,0
no_act/19A_noactivity_7(10),-0.979,-0.822,-0.762,-0.806,-0.822,0
no_act/19A_noactivity_7(11),-0.981,-0.851,-0.802,-0.779,-0.793,0
no_act/19A_noactivity_7(12),-0.982,-0.84,-0.808,-0.836,-0.818,0
no_act/19A_noactivity_7(13),-0.986,-0.83,-0.833,-0.777,-0.83,0
no_act/19A_noactivity_7(14),-0.983,-0.828,-0.823,-0.792,-0.843,0
no_act/19A_noactivity_7(15),-0.978,-0.814,-0.794,-0.809,-0.801,0
no_act/19A_noactivity_7(16),-0.98,-0.817,-0.838,-0.829,-0.794,0
no_act/19A_noactivity_7(17),-0.977,-0.83,-0.855,-0.801,-0.845,0
no_act/19A_noactivity_7(18),-0.973,-0.827,-0.812,-0.84,-0.808,0
no_act/19A_noactivity_7(19),-0.985,-0.802,-0.84,-0.814,-0.796,0
no_act/19A_noactivity_7(20),-0.987,-0.801,-0.814,-0.783,-0.793,0
no_act/19A_noactivity_7(21),-0.98,-0.806,-0.814,-0.802,-0.807,0
no_act/19A_noactivity_7(22),-0.984,-0.829,-0.813,-0.802,-0.78,0
no_act/19A_noactivity_7(23),-0.982,-0.836,-0.796,-0.767,-0.81,0
no_act/19A_noactivity_7(24),-0.981,-0.807,-0.839,-0.784,-0.794,0
no_act/19A_noactivity_7(25),-0.978,-0.813,-0.806,-0.78,-0.79,0
no_act/19A_noactivity_7(26),-0.982,-0.819,-0.803,-0.82,-0.772,0
no_act/19A_noactivity_7(27),-0.985,-0.801,-0.807,-0.784,-0.795,0
no_act/19A_noactivity_7(28),-0.975,-0.811,-0.787,-0.811,-0.816,0
no_act/19A_noactivity_7(29),-0.975,-0.818,-0.834,-0.783,-0.783,0
no_act/19A_noactivity_7(30),-0.98,-0.826,-0.822,-0.866,-0.781,0
no_act/19A_noactivity_7(31),-0.983,-0.832,-0.826,-0.837,-0.839,0
no_act/19A_noactivity_7(32),-0.983,-0.829,-0.818,-0.821,-0.78,0
no_act/19A_noactivity_7(33),-0.984,-0.817,-0.818,-0.799,-0.761,0
no_act/19A_noactivity_7(34),-0.983,-0.792,-0.786,-0.799,-0.788,0
no_act/19A_noactivity_7(35),-0.987,-0.808,-0.78,-0.805,-0.798,0
no_act/19A_noactivity_7(36),-0.986,-0.822,-0.788,-0.788,-0.803,0
no_act/19A_noactivity_7(37),-0.985,-0.826,-0.8,-0.805,-0.793,0
no_act/19A_noactivity_7(38),-0.988,-0.826,-0.794,-0.819,-0.776,0
no_act/19A_noactivity_7(39),-0.979,-0.808,-0.781,-0.805,-0.812,0
no_act/19A_noactivity_7(40),-0.972,-0.816,-0.803,-0.789,-0.776,0
no_act/19A_noactivity_7(41),-0.982,-0.818,-0.817,-0.775,-0.81,0
no_act/19A_noactivity_7(42),-0.977,-0.817,-0.814,-0.811,-0.805,0
no_act/19A_noactivity_7(43),-0.979,-0.805,-0.817,-0.814,-0.829,0
no_act/19A_noactivity_7(44),-0.987,-0.835,-0.768,-0.804,-0.794,0
no_act/19A_noactivity_7(45),-0.985,-0.831,-0.764,-0.796,-0.769,0
no_act/19A_noactivity_7(46),-0.984,-0.824,-0.775,-0.749,-0.769,0
no_act/19A_noactivity_7(47),-0.981,-0.829,-0.791,-0.766,-0.77,0
no_act/19A_noactivity_7(48),-0.975,-0.81,-0.786,-0.824,-0.758,0
no_act/19A_noactivity_7(49),-0.979,-0.822,-0.806,-0.845,-0.822,0
no_act/19A_noactivity_7(50),-0.98,-0.823,-0.815,-0.778,-0.771,0
no_act/19A_noactivity_7(51),-0.979,-0.817,-0.762,-0.823,-0.827,0
no_act/19A_noactivity_7(52),-0.981,-0.809,-0.777,-0.806,-0.799,0
no_act/19A_noactivity_7(53),-0.979,-0.821,-0.761,-0.822,-0.824,0
no_act/19A_noactivity_7(54),-0.977,-0.825,-0.785,-0.794,-0.833,0
no_act/19A_noactivity_7(55),-0.981,-0.81,-0.835,-0.79,-0.795,0
no_act/19A_noactivity_7(56),-0.985,-0.804,-0.811,-0.822,-0.812,0
no_act/19A_noactivity_7(57),-0.986,-0.814,-0.818,-0.776,-0.831,0
no_act/19A_noactivity_7(58),-0.988,-0.839,-0.787,-0.838,-0.799,0
no_act/19A_noactivity_7(59),-0.978,-0.822,-0.813,-0.811,-0.773,0
no_act/19A_noactivity_7(60),-0.978,-0.816,-0.782,-0.836,-0.809,0
no_act/19A_noactivity_7(61),-0.981,-0.81,-0.771,-0.792,-0.781,0
no_act/19A_noactivity_7(62),-0.978,-0.826,-0.838,-0.767,-0.796,0
no_act/19A_noactivity_7(63),-0.981,-0.818,-0.823,-0.762,-0.787,0
no_act/19A_noactivity_7(64),-0.978,-0.818,-0.818,-0.793,-0.731,0
no_act/19A_noactivity_7(65),-0.978,-0.811,-0.803,-0.793,-0.766,0
no_act/19A_noactivity_7(66),-0.985,-0.837,-0.812,-0.789,-0.781,0
no_act/19A_noactivity_7(67),-0.989,-0.821,-0.805,-0.794,-0.818,0
no_act/19A_noactivity_7(68),-0.981,-0.824,-0.833,-0.816,-0.806,0
no_act/19A_noactivity_7(69),-0.981,-0.827,-0.815,-0.799,-0.828,0
no_act/19A_noactivity_7(70),-0.982,-0.822,-0.801,-0.805,-0.803,0
no_act/19A_noactivity_7(71),-0.983,-0.826,-0.803,-0.837,-0.805,0
no_act/19A_noactivity_7(72),-0.979,-0.815,-0.842,-0.82,-0.784,0
no_act/19A_noactivity_7(73),-0.979,-0.819,-0.794,-0.82,-0.809,0
no_act/19A_noactivity_7(74),-0.983,-0.836,-0.769,-0.801,-0.816,0
no_act/19A_noactivity_7(75),-0.98,-0.84,-0.812,-0.792,-0.811,0
no_act/19A_noactivity_7(76),-0.982,-0.825,-0.841,-0.792,-0.781,0
no_act/19A_noactivity_7(77),-0.984,-0.809,-0.798,-0.8,-0.762,0
no_act/19A_noactivity_7(78),-0.985,-0.821,-0.817,-0.76,-0.819,0
no_act/19A_noactivity_7(79),-0.981,-0.819,-0.843,-0.8,-0.793,0
no_act/19A_noactivity_7(80),-0.976,-0.816,-0.82,-0.791,-0.833,0
no_act/19A_noactivity_7(81),-0.978,-0.813,-0.79,-0.793,-0.771,0
no_act/19A_noactivity_7(82),-0.978,-0.827,-0.81,-0.794,-0.822,0
no_act/19A_noactivity_7(83),-0.979,-0.808,-0.812,-0.807,-0.823,0
no_act/19A_noactivity_7(84),-0.977,-0.817,-0.809,-0.811,-0.841,0
no_act/19A_noactivity_7(85),-0.98,-0.83,-0.772,-0.827,-0.781,0
no_act/19A_noactivity_7(86),-0.98,-0.823,-0.807,-0.813,-0.771,0
no_act/19A_noactivity_7(87),-0.982,-0.814,-0.784,-0.78,-0.773,0
no_act/19A_noactivity_7(88),-0.986,-0.823,-0.793,-0.784,-0.809,0
no_act/19A_noactivity_7(89),-0.982,-0.818,-0.777,-0.788,-0.817,0
no_act/19A_noactivity_7(90),-0.981,-0.808,-0.809,-0.775,-0.779,0
no_act/19A_noactivity_7(91),-0.983,-0.819,-0.803,-0.781,-0.792,0
no_act/19A_noactivity_7(92),-0.989,-0.829,-0.815,-0.783,-0.797,0
no_act/19A_noactivity_7(93),-0.986,-0.825,-0.792,-0.79,-0.799,0
no_act/19A_noactivity_7(94),-0.98,-0.836,-0.776,-0.808,-0.756,0
no_act/19A_noactivity_7(95),-0.982,-0.82,-0.767,-0.753,-0.766,0
no_act/19A_noactivity_7(96),-0.98,-0.799,-0.81,-0.772,-0.822,0
no_act/19A_noactivity_7(97),-0.978,-0.833,-0.811,-0.8,-0.789,0
no_act/19A_noactivity_7(98),-0.98,-0.84,-0.816,-0.819,-0.832,0
no_act/19A_noactivity_7(99),-0.98,-0.832,-0.866,-0.786,-0.821,0
no_act/19A_noactivity_7(100),-0.981,-0.821,-0.829,-0.764,-0.796,0
no_act/19A_noactivity_7(101),-0.986,-0.825,-0.802,-0.786,-0.813,0
no_act/19A_noactivity_7(102),-0.984,-0.838,-0.777,-0.797,-0.797,0
no_act/19A_noactivity_7(103),-0.978,-0.837,-0.823,-0.792,-0.807,0
no_act/19A_noactivity_7(104),-0.979,-0.835,-0.829,-0.814,-0.801,0
no_act/19A_noactivity_7(105),-0.973,-0.824,-0.784,-0.792,-0.762,0
no_act/19A_noactivity_7(106),-0.967,-0.822,-0.822,-0.795,-0.768,0
no_act/19A_noactivity_7(107),-0.977,-0.822,-0.784,-0.82,-0.829,0
no_act/19A_noactivity_7(108),-0.976,-0.826,-0.781,-0.79,-0.783,0
no_act/19A_noactivity_7(109),-0.98,-0.819,-0.784,-0.773,-0.774,0
no_act/19A_noactivity_7(110),-0.982,-0.841,-0.848,-0.773,-0.789,0
no_act/19A_noactivity_7(111),-0.983,-0.842,-0.8,-0.806,-0.808,0
no_act/19A_noactivity_7(112),-0.986,-0.841,-0.841,-0.804,-0.825,0
no_act/19A_noactivity_7(113),-0.981,-0.831,-0.797,-0.848,-0.813,0
no_act/19A_noactivity_7(114),-0.988,-0.826,-0.758,-0.833,-0.77,0
no_act/19A_noactivity_7(115),-0.988,-0.812,-0.772,-0.79,-0.765,0
no_act/19A_noactivity_7(116),-0.979,-0.806,-0.807,-0.794,-0.782,0
no_act/19A_noactivity_7(117),-0.983,-0.814,-0.808,-0.817,-0.765,0
no_act/19A_noactivity_7(118),-0.986,-0.84,-0.77,-0.811,-0.821,0
no_act/19A_noactivity_7(119),-0.981,-0.838,-0.806,-0.78,-0.79,0
no_act/19A_noactivity_7(120),-0.981,-0.834,-0.774,-0.797,-0.755,0
no_act/19A_noactivity_7(121),-0.979,-0.827,-0.783,-0.819,-0.815,0
no_act/19A_noactivity_7(122),-0.981,-0.818,-0.815,-0.805,-0.793,0
no_act/19A_noactivity_7(123),-0.986,-0.832,-0.809,-0.808,-0.805,0
no_act/19A_noactivity_7(124),-0.981,-0.829,-0.796,-0.772,-0.826,0
no_act/19A_noactivity_7(125),-0.984,-0.822,-0.766,-0.805,-0.794,0
no_act/19A_noactivity_7(126),-0.975,-0.814,-0.818,-0.809,-0.794,0
no_act/19A_noactivity_7(127),-0.976,-0.836,-0.787,-0.829,-0.769,0
no_act/19A_noactivity_7(128),-0.966,-0.829,-0.761,-0.814,-0.778,0
no_act/19A_noactivity_7(129),-0.976,-0.802,-0.797,-0.778,-0.777,0
no_act/19A_noactivity_7(130),-0.98,-0.804,-0.828,-0.803,-0.767,0
no_act/19A_noactivity_7(131),-0.978,-0.822,-0.753,-0.809,-0.838,0
no_act/19A_noactivity_7(132),-0.985,-0.814,-0.809,-0.812,-0.808,0
no_act/19A_noactivity_7(133),-0.983,-0.832,-0.75,-0.802,-0.811,0
no_act/19A_noactivity_7(134),-0.981,-0.834,-0.826,-0.822,-0.798,0
no_act/19A_noactivity_7(135),-0.984,-0.834,-0.809,-0.814,-0.794,0
no_act/19A_noactivity_7(136),-0.979,-0.831,-0.813,-0.791,-0.791,0
no_act/19A_noactivity_7(137),-0.987,-0.828,-0.783,-0.804,-0.814,0
no_act/19A_noactivity_7(138),-0.986,-0.824,-0.8,-0.812,-0.773,0
no_act/19A_noactivity_7(139),-0.977,-0.812,-0.828,-0.813,-0.814,0
no_act/19A_noactivity_7(140),-0.97,-0.826,-0.811,-0.787,-0.793,0
no_act/19A_noactivity_7(141),-0.976,-0.834,-0.78,-0.811,-0.804,0
no_act/19A_noactivity_7(142),-0.983,-0.811,-0.789,-0.802,-0.808,0
no_act/19A_noactivity_7(143),-0.984,-0.811,-0.805,-0.793,-0.825,0
no_act/19A_noactivity_7(144),-0.982,-0.799,-0.832,-0.828,-0.795,0
no_act/19A_noactivity_7(145),-0.98,-0.805,-0.827,-0.78,-0.787,0
no_act/19A_noactivity_7(146),-0.982,-0.824,-0.804,-0.778,-0.787,0
no_act/19A_noactivity_7(147),-0.984,-0.822,-0.791,-0.839,-0.823,0
no_act/19A_noactivity_7(148),-0.982,-0.841,-0.802,-0.802,-0.813,0
no_act/19A_noactivity_7(149),-0.975,-0.827,-0.792,-0.794,-0.796,0
no_act/19A_noactivity_7(150),-0.976,-0.804,-0.803,-0.747,-0.811,0
no_act/19A_noactivity_7(151),-0.979,-0.797,-0.809,-0.821,-0.783,0
no_act/19A_noactivity_7(152),-0.984,-0.815,-0.795,-0.779,-0.804,0
no_act/19A_noactivity_7(153),-0.983,-0.847,-0.796,-0.889,-0.769,0
no_act/19A_noactivity_7(154),-0.983,-0.834,-0.806,-0.797,-0.821,0
no_act/19A_noactivity_7(155),-0.983,-0.821,-0.802,-0.853,-0.777,0
no_act/19A_noactivity_7(156),-0.984,-0.819,-0.814,-0.849,-0.766,0
no_act/19A_noactivity_7(157),-0.987,-0.822,-0.802,-0.8,-0.772,0
no_act/19A_noactivity_7(158),-0.98,-0.83,-0.838,-0.798,-0.825,0
no_act/19A_noactivity_7(159),-0.98,-0.832,-0.803,-0.794,-0.8,0
no_act/19A_noactivity_7(160),-0.97,-0.835,-0.837,-0.792,-0.773,0
no_act/19A_noactivity_7(161),-0.979,-0.818,-0.789,-0.824,-0.781,0
no_act/19A_noactivity_7(162),-0.981,-0.811,-0.826,-0.801,-0.822,0
no_act/19A_noactivity_7(163),-0.984,-0.814,-0.797,-0.798,-0.83,0
no_act/19A_noactivity_7(164),-0.978,-0.819,-0.795,-0.81,-0.789,0
no_act/19A_noactivity_7(165),-0.98,-0.823,-0.794,-0.809,-0.852,0
no_act/19A_noactivity_7(166),-0.978,-0.822,-0.857,-0.825,-0.81,0
no_act/19A_noactivity_7(167),-0.979,-0.824,-0.826,-0.791,-0.774,0
no_act/19A_noactivity_7(168),-0.979,-0.827,-0.799,-0.842,-0.815,0
no_act/19A_noactivity_7(169),-0.977,-0.812,-0.814,-0.771,-0.829,0
no_act/19A_noactivity_7(170),-0.984,-0.812,-0.817,-0.822,-0.819,0
no_act/19A_noactivity_7(171),-0.981,-0.829,-0.79,-0.827,-0.804,0
no_act/19A_noactivity_7(172),-0.978,-0.834,-0.792,-0.813,-0.752,0
no_act/19A_noactivity_7(173),-0.981,-0.818,-0.808,-0.766,-0.823,0
no_act/19A_noactivity_7(174),-0.982,-0.814,-0.794,-0.789,-0.8,0
no_act/19A_noactivity_7(175),-0.977,-0.837,-0.787,-0.778,-0.788,0
no_act/19A_noactivity_3(0),-0.959,-0.824,-0.809,-0.815,-0.83,0
no_act/19A_noactivity_3(1),-0.954,-0.808,-0.828,-0.81,-0.821,0
no_act/19A_noactivity_3(2),-0.939,-0.839,-0.786,-0.819,-0.789,0
no_act/19A_noactivity_3(3),-0.954,-0.844,-0.805,-0.794,-0.781,0
no_act/19A_noactivity_3(4),-0.948,-0.832,-0.811,-0.81,-0.756,0
no_act/19A_noactivity_3(5),-0.823,-0.943,-0.76,-0.804,-0.819,0
no_act/19A_noactivity_3(6),-0.83,-0.938,-0.813,-0.798,-0.804,0
no_act/19A_noactivity_3(7),-0.842,-0.909,-0.808,-0.796,-0.804,0
no_act/19A_noactivity_3(8),-0.83,-0.951,-0.794,-0.776,-0.797,0
no_act/19A_noactivity_3(9),-0.83,-0.922,-0.792,-0.791,-0.795,0
no_act/19A_noactivity_3(10),-0.999,-0.823,-0.876,-0.823,-0.805,0
no_act/19A_noactivity_3(11),-0.936,-0.816,-0.795,-0.808,-0.801,0
no_act/19A_noactivity_3(12),-0.96,-0.803,-0.789,-0.826,-0.782,0
no_act/19A_noactivity_3(13),-0.835,-0.93,-0.796,-0.776,-0.777,0
no_act/19A_noactivity_3(14),-0.953,-0.822,-0.843,-0.766,-0.776,0
no_act/19A_noactivity_3(15),-0.957,-0.818,-0.802,-0.765,-0.822,0
no_act/19A_noactivity_3(16),-0.816,-0.918,-0.779,-0.807,-0.817,0
no_act/19A_noactivity_3(17),-0.82,-0.873,-0.789,-0.787,-0.806,0
no_act/19A_noactivity_3(18),-0.904,-0.841,-0.769,-0.828,-0.787,0
no_act/19A_noactivity_3(19),-0.937,-0.817,-0.802,-0.755,-0.806,0
no_act/19A_noactivity_3(20),-0.932,-0.826,-0.799,-0.84,-0.799,0
no_act/19A_noactivity_3(21),-0.999,-0.816,-0.902,-0.82,-0.785,0
no_act/19A_noactivity_3(22),-0.932,-0.804,-0.783,-0.76,-0.785,0
no_act/19A_noactivity_3(23),-0.949,-0.834,-0.786,-0.787,-0.773,0
no_act/19A_noactivity_3(24),-0.932,-0.83,-0.771,-0.827,-0.751,0
no_act/19A_noactivity_3(25),-0.951,-0.808,-0.79,-0.787,-0.796,0
no_act/19A_noactivity_3(26),-0.944,-0.808,-0.79,-0.765,-0.775,0
no_act/19A_noactivity_3(27),-0.838,-0.887,-0.803,-0.806,-0.825,0
no_act/19A_noactivity_3(28),-0.831,-0.881,-0.797,-0.773,-0.811,0
no_act/19A_noactivity_3(29),-0.817,-0.915,-0.812,-0.839,-0.751,0
no_act/19A_noactivity_3(30),-0.823,-0.918,-0.789,-0.822,-0.778,0
no_act/19A_noactivity_3(31),-0.834,-0.893,-0.806,-0.796,-0.807,0
no_act/19A_noactivity_3(32),-0.999,-0.818,-0.873,-0.82,-0.799,0
no_act/19A_noactivity_3(33),-0.944,-0.842,-0.81,-0.828,-0.801,0
no_act/19A_noactivity_3(34),-0.958,-0.841,-0.77,-0.759,-0.811,0
no_act/19A_noactivity_3(35),-0.918,-0.818,-0.766,-0.815,-0.787,0
no_act/19A_noactivity_3(36),-0.926,-0.811,-0.796,-0.821,-0.804,0
no_act/19A_noactivity_3(37),-0.942,-0.808,-0.804,-0.776,-0.745,0
no_act/19A_noactivity_3(38),-0.845,-0.858,-0.811,-0.772,-0.762,0
no_act/19A_noactivity_3(39),-0.891,-0.844,-0.801,-0.783,-0.817,0
no_act/19A_noactivity_3(40),-0.908,-0.831,-0.747,-0.769,-0.779,0
no_act/19A_noactivity_3(41),-0.817,-0.93,-0.778,-0.755,-0.818,0
no_act/19A_noactivity_3(42),-0.82,-0.903,-0.804,-0.799,-0.798,0
no_act/19A_noactivity_3(43),-0.999,-0.828,-0.84,-0.822,-0.818,0
no_act/19A_noactivity_3(44),-0.92,-0.844,-0.765,-0.762,-0.792,0
no_act/19A_noactivity_3(45),-0.957,-0.849,-0.788,-0.8,-0.777,0
no_act/19A_noactivity_3(46),-0.946,-0.828,-0.784,-0.801,-0.804,0
no_act/19A_noactivity_3(47),-0.947,-0.819,-0.802,-0.779,-0.782,0
no_act/19A_noactivity_3(48),-0.955,-0.824,-0.808,-0.778,-0.789,0
no_act/19A_noactivity_3(49),-0.821,-0.93,-0.783,-0.788,-0.817,0
no_act/19A_noactivity_3(50),-0.832,-0.92,-0.768,-0.797,-0.797,0
no_act/19A_noactivity_3(51),-0.837,-0.886,-0.759,-0.802,-0.785,0
no_act/19A_noactivity_3(52),-0.836,-0.924,-0.841,-0.797,-0.747,0
no_act/19A_noactivity_3(53),-0.828,-0.932,-0.799,-0.774,-0.789,0
no_act/19A_noactivity_3(54),-0.999,-0.838,-0.838,-0.844,-0.809,0
no_act/19A_noactivity_3(55),-0.939,-0.805,-0.792,-0.753,-0.815,0
no_act/19A_noactivity_3(56),-0.947,-0.825,-0.759,-0.779,-0.78,0
no_act/19A_noactivity_3(57),-0.875,-0.894,-0.802,-0.785,-0.755,0
no_act/19A_noactivity_3(58),-0.938,-0.843,-0.787,-0.761,-0.777,0
no_act/19A_noactivity_3(59),-0.936,-0.822,-0.794,-0.759,-0.805,0
no_act/19A_noactivity_3(60),-0.836,-0.909,-0.809,-0.784,-0.756,0
no_act/19A_noactivity_3(61),-0.867,-0.868,-0.814,-0.781,-0.786,0
no_act/19A_noactivity_3(62),-0.922,-0.836,-0.77,-0.794,-0.796,0
no_act/19A_noactivity_3(63),-0.93,-0.828,-0.788,-0.817,-0.798,0
no_act/19A_noactivity_3(64),-0.932,-0.836,-0.818,-0.78,-0.785,0
no_act/19A_noactivity_3(65),-0.999,-0.828,-0.848,-0.818,-0.821,0
no_act/19A_noactivity_3(66),-0.96,-0.838,-0.783,-0.784,-0.762,0
no_act/19A_noactivity_3(67),-0.953,-0.831,-0.76,-0.761,-0.827,0
