title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(0),-0.981,-0.919,-0.821,-0.815,-0.806,0
no_act/19A_noactivity_7(1),-0.977,-0.799,-0.845,-0.787,-0.817,0
no_act/19A_noactivity_7(2),-0.974,-0.814,-0.844,-0.763,-0.849,0
no_act/19A_noactivity_7(3),-0.976,-0.804,-0.818,-0.819,-0.843,0
no_act/19A_noactivity_7(4),-0.983,-0.817,-0.84,-0.83,-0.792,0
no_act/19A_noactivity_7(5),-0.981,-0.83,-0.798,-0.825,-0.835,0
no_act/19A_noactivity_7(6),-0.974,-0.827,-0.821,-0.807,-0.775,0
no_act/19A_noactivity_7(7),-0.972,-0.824,-0.813,-0.809,-0.82,0
no_act/19A_noactivity_7(8),-0.976,-0.81,-0.829,-0.793,-0.816,0
no_act/19A_noactivity_7(9),-0.977,-0.797,-0.792,-0.812,-0.827,0
no_act/19A_noactivity_7(10),-0.979,-0.831,-0.822,-0.829,-0.768,0
no_act/19A_noactivity_7(11),-0.979,-0.811,-0.855,-0.843,-0.801,0
no_act/19A_noactivity_7(12),-0.985,-0.806,-0.812,-0.82,-0.829,0
no_act/19A_noactivity_7(13),-0.981,-0.823,-0.805,-0.81,-0.83,0
no_act/19A_noactivity_7(14),-0.978,-0.819,-0.807,-0.819,-0.842,0
no_act/19A_noactivity_7(15),-0.977,-0.834,-0.806,-0.823,-0.809,0
no_act/19A_noactivity_7(16),-0.981,-0.826,-0.83,-0.814,-0.841,0
no_act/19A_noactivity_7(17),-0.976,-0.822,-0.821,-0.775,-0.814,0
no_act/19A_noactivity_7(18),-0.975,-0.82,-0.8,-0.81,-0.836,0
no_act/19A_noactivity_7(19),-0.979,-0.813,-0.832,-0.803,-0.814,0
no_act/19A_noactivity_7(20),-0.981,-0.824,-0.841,-0.814,-0.83,0
no_act/19A_noactivity_7(21),-0.98,-0.834,-0.798,-0.834,-0.82,0
no_act/19A_noactivity_7(22),-0.978,-0.833,-0.869,-0.824,-0.793,0
no_act/19A_noactivity_7(23),-0.979,-0.811,-0.861,-0.805,-0.845,0
no_act/19A_noactivity_7(24),-0.981,-0.821,-0.843,-0.856,-0.809,0
no_act/19A_noactivity_7(25),-0.976,-0.834,-0.822,-0.832,-0.814,0
no_act/19A_noactivity_7(26),-0.973,-0.825,-0.836,-0.825,-0.802,0
no_act/19A_noactivity_7(27),-0.979,-0.818,-0.804,-0.814,-0.858,0
no_act/19A_noactivity_7(28),-0.98,-0.818,-0.806,-0.773,-0.838,0
no_act/19A_noactivity_7(29),-0.972,-0.829,-0.845,-0.821,-0.835,0
no_act/19A_noactivity_7(30),-0.974,-0.818,-0.839,-0.814,-0.825,0
no_act/19A_noactivity_7(31),-0.977,-0.813,-0.831,-0.813,-0.82,0
no_act/19A_noactivity_7(32),-0.981,-0.836,-0.798,-0.84,-0.808,0
no_act/19A_noactivity_7(33),-0.976,-0.823,-0.837,-0.845,-0.868,0
no_act/19A_noactivity_7(34),-0.979,-0.799,-0.827,-0.814,-0.85,0
no_act/19A_noactivity_7(35),-0.981,-0.821,-0.851,-0.861,-0.811,0
no_act/19A_noactivity_7(36),-0.982,-0.816,-0.828,-0.779,-0.856,0
no_act/19A_noactivity_7(37),-0.984,-0.806,-0.832,-0.837,-0.823,0
no_act/19A_noactivity_7(38),-0.982,-0.817,-0.823,-0.823,-0.801,0
no_act/19A_noactivity_7(39),-0.977,-0.816,-0.831,-0.823,-0.819,0
no_act/19A_noactivity_7(40),-0.98,-0.821,-0.802,-0.826,-0.824,0
no_act/19A_noactivity_7(41),-0.981,-0.814,-0.809,-0.818,-0.783,0
no_act/19A_noactivity_7(42),-0.98,-0.796,-0.829,-0.826,-0.83,0
no_act/19A_noactivity_7(43),-0.972,-0.795,-0.879,-0.784,-0.822,0
no_act/19A_noactivity_7(44),-0.98,-0.827,-0.814,-0.815,-0.786,0
no_act/19A_noactivity_7(45),-0.98,-0.837,-0.856,-0.821,-0.826,0
no_act/19A_noactivity_7(46),-0.979,-0.832,-0.83,-0.854,-0.811,0
no_act/19A_noactivity_7(47),-0.984,-0.821,-0.809,-0.843,-0.802,0
no_act/19A_noactivity_7(48),-0.982,-0.799,-0.788,-0.767,-0.842,0
