title,A_1,A_2,A_3,A_4,A_5,Y
no_act/19A_noactivity_7(0),-0.978,-0.811,-0.814,-0.818,-0.841,0
no_act/19A_noactivity_7(1),-0.978,-0.821,-0.794,-0.777,-0.778,0
no_act/19A_noactivity_7(2),-0.983,-0.805,-0.81,-0.771,-0.762,0
no_act/19A_noactivity_7(3),-0.982,-0.791,-0.828,-0.814,-0.796,0
no_act/19A_noactivity_7(4),-0.975,-0.8,-0.794,-0.837,-0.772,0
no_act/19A_noactivity_7(5),-0.974,-0.826,-0.802,-0.819,-0.812,0
no_act/19A_noactivity_7(6),-0.974,-0.82,-0.78,-0.848,-0.817,0
no_act/19A_noactivity_7(7),-0.98,-0.816,-0.793,-0.787,-0.792,0
no_act/19A_noactivity_7(8),-0.981,-0.815,-0.827,-0.783,-0.782,0
no_act/19A_noactivity_7(9),-0.975,-0.814,-0.798,-0.787,-0.82,0
no_act/19A_noactivity_7(10),-0.977,-0.82,-0.817,-0.794,-0.808,0
no_act/19A_noactivity_7(11),-0.98,-0.831,-0.816,-0.787,-0.839,0
no_act/19A_noactivity_7(12),-0.974,-0.821,-0.803,-0.806,-0.812,0
no_act/19A_noactivity_7(13),-0.979,-0.811,-0.786,-0.789,-0.833,0
no_act/19A_noactivity_7(14),-0.979,-0.803,-0.782,-0.81,-0.81,0
no_act/19A_noactivity_7(15),-0.98,-0.825,-0.801,-0.797,-0.807,0
no_act/19A_noactivity_7(16),-0.975,-0.815,-0.798,-0.836,-0.834,0
no_act/19A_noactivity_7(17),-0.973,-0.833,-0.777,-0.773,-0.815,0
no_act/19A_noactivity_7(18),-0.966,-0.822,-0.769,-0.818,-0.815,0
no_act/19A_noactivity_7(19),-0.972,-0.809,-0.794,-0.795,-0.786,0
no_act/19A_noactivity_7(20),-0.977,-0.829,-0.815,-0.767,-0.79,0
no_act/19A_noactivity_7(21),-0.982,-0.838,-0.79,-0.793,-0.838,0
no_act/19A_noactivity_7(22),-0.98,-0.821,-0.791,-0.786,-0.762,0
no_act/19A_noactivity_7(23),-0.984,-0.845,-0.819,-0.804,-0.816,0
no_act/19A_noactivity_7(24),-0.985,-0.834,-0.786,-0.8,-0.834,0
no_act/19A_noactivity_7(25),-0.977,-0.8,-0.842,-0.787,-0.813,0
no_act/19A_noactivity_7(26),-0.983,-0.801,-0.82,-0.775,-0.78,0
no_act/19A_noactivity_7(27),-0.979,-0.829,-0.804,-0.814,-0.836,0
no_act/19A_noactivity_7(28),-0.971,-0.811,-0.831,-0.772,-0.828,0
no_act/19A_noactivity_7(29),-0.969,-0.803,-0.816,-0.77,-0.796,0
no_act/19A_noactivity_7(30),-0.977,-0.837,-0.777,-0.796,-0.827,0
no_act/19A_noactivity_7(31),-0.976,-0.811,-0.806,-0.831,-0.778,0
no_act/19A_noactivity_7(32),-0.977,-0.82,-0.78,-0.836,-0.759,0
no_act/19A_noactivity_7(33),-0.983,-0.823,-0.763,-0.807,-0.805,0
no_act/19A_noactivity_7(34),-0.983,-0.821,-0.795,-0.755,-0.808,0
no_act/19A_noactivity_7(35),-0.983,-0.836,-0.789,-0.775,-0.844,0
no_act/19A_noactivity_7(36),-0.979,-0.826,-0.823,-0.775,-0.762,0
no_act/19A_noactivity_7(37),-0.978,-0.803,-0.764,-0.819,-0.823,0
no_act/19A_noactivity_7(38),-0.975,-0.802,-0.846,-0.81,-0.817,0
no_act/19A_noactivity_7(39),-0.967,-0.83,-0.814,-0.8,-0.782,0
no_act/19A_noactivity_7(40),-0.978,-0.843,-0.778,-0.81,-0.785,0
no_act/19A_noactivity_7(41),-0.98,-0.832,-0.804,-0.764,-0.781,0
no_act/19A_noactivity_7(42),-0.979,-0.818,-0.78,-0.8,-0.786,0
no_act/19A_noactivity_7(43),-0.982,-0.84,-0.773,-0.762,-0.787,0
no_act/19A_noactivity_7(44),-0.981,-0.784,-0.783,-0.797,-0.829,0
no_act/19A_noactivity_7(45),-0.979,-0.794,-0.804,-0.787,-0.803,0
