title,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
no_act/csi_noactivity_1(0),8.573,7.377,11.233,10.96,10.291,8.929,0
no_act/csi_noactivity_1(1),8.386,7.391,11.277,10.772,10.461,8.821,0
no_act/csi_noactivity_1(2),8.204,7.505,11.738,10.342,10.357,8.933,0
no_act/csi_noactivity_1(3),8.353,7.492,12.168,10.068,10.217,9.171,0
no_act/csi_noactivity_1(4),8.108,7.677,12.313,9.853,10.541,8.822,0
no_act/csi_noactivity_1(5),8.095,7.702,11.843,10.299,10.475,8.635,0
no_act/csi_noactivity_1(6),8.339,7.498,11.445,10.52,10.322,8.616,0
no_act/csi_noactivity_1(7),8.101,7.657,11.858,10.18,10.367,8.702,0
no_act/csi_noactivity_1(8),8.329,7.666,11.632,10.56,10.374,8.881,0
no_act/csi_noactivity_1(9),8.708,7.292,11.321,10.726,10.075,9.086,0
no_act/csi_noactivity_1(10),8.697,7.09,12.108,9.896,9.626,9.494,0
no_act/csi_noactivity_1(11),8.339,7.627,11.94,10.15,10.325,8.94,0
no_act/csi_noactivity_1(12),8.505,7.588,12.021,10.158,10.128,9.137,0
no_act/csi_noactivity_1(13),8.513,7.47,11.247,10.804,10.148,9.087,0
no_act/csi_noactivity_1(14),8.415,7.384,11.026,10.9,10.12,9.137,0
no_act/csi_noactivity_1(15),8.216,7.523,11.287,10.771,10.128,9.13,0
no_act/csi_noactivity_1(16),8.352,7.443,11.451,10.577,10.41,8.735,0
no_act/csi_noactivity_1(17),8.363,7.49,11.29,10.814,10.293,8.89,0
no_act/csi_noactivity_1(18),8.538,7.318,11.723,10.493,9.792,9.406,0
no_act/csi_noactivity_1(19),8.568,7.42,11.26,10.734,10.118,9.089,0
no_act/csi_noactivity_1(20),8.15,7.703,11.829,10.118,10.34,8.78,0
no_act/csi_noactivity_1(21),8.077,7.648,12.119,10.02,10.298,8.789,0
no_act/csi_noactivity_1(22),8.603,7.315,11.451,10.706,10.574,8.823,0
no_act/csi_noactivity_1(23),8.166,7.586,12.314,9.714,10.581,8.803,0
no_act/csi_noactivity_1(24),8.109,7.742,12.539,9.573,10.793,8.54,0
no_act/csi_noactivity_1(25),8.216,7.717,12.578,9.683,10.628,8.74,0
no_act/csi_noactivity_1(26),8.473,7.42,12.952,9.429,10.694,8.843,0
no_act/csi_noactivity_1(27),8.277,7.621,12.737,9.558,10.774,8.619,0
no_act/csi_noactivity_1(28),8.265,7.692,12.483,9.738,10.438,8.588,0
no_act/csi_noactivity_1(29),8.527,7.42,11.769,10.394,9.982,9.009,0
no_act/csi_noactivity_1(30),8.263,7.476,11.645,10.43,10.176,8.985,0
no_act/csi_noactivity_1(31),8.229,7.528,12.453,9.695,10.51,8.714,0
no_act/csi_noactivity_1(32),8.113,7.664,12.375,9.917,10.487,8.704,0
no_act/csi_noactivity_1(33),8.532,7.518,11.669,10.366,9.894,9.384,0
no_act/csi_noactivity_1(34),8.155,7.687,11.795,10.135,10.411,8.972,0
no_act/csi_noactivity_1(35),8.155,7.617,12.158,9.929,10.599,8.959,0
no_act/csi_noactivity_1(36),8.578,7.461,11.984,10.319,9.962,9.537,0
no_act/csi_noactivity_1(37),8.422,7.462,11.178,10.902,10.379,9.018,0
no_act/csi_noactivity_1(38),8.48,7.317,11.284,10.642,10.525,8.69,0
no_act/csi_noactivity_1(39),8.457,7.477,11.314,10.678,10.144,9.094,0
no_act/csi_noactivity_1(40),8.653,7.407,11.866,10.23,9.675,9.461,0
no_act/csi_noactivity_1(41),8.677,7.443,11.531,10.601,9.845,9.199,0
no_act/csi_noactivity_1(42),8.453,7.658,11.354,10.871,10.268,8.985,0
no_act/csi_noactivity_1(43),8.083,7.809,12.023,10.287,10.267,8.844,0
no_act/csi_noactivity_1(44),8.757,7.401,11.815,10.334,9.813,9.478,0
no_act/csi_noactivity_1(45),8.596,7.347,11.449,10.572,10.063,9.305,0
no_act/csi_noactivity_1(46),8.313,7.441,11.342,10.627,10.501,8.797,0
no_act/csi_noactivity_1(47),8.21,7.456,11.237,10.705,10.364,8.979,0
no_act/csi_noactivity_1(48),8.24,7.384,11.756,10.188,9.937,9.268,0
no_act/csi_noactivity_1(49),8.248,7.555,12.037,10.04,10.174,9.08,0
no_act/csi_noactivity_1(50),8.581,7.438,11.554,10.642,10.291,9.106,0
no_act/csi_noactivity_1(51),8.815,7.24,12.062,10.2,9.631,9.503,0
no_act/csi_noactivity_1(52),8.437,7.585,11.605,10.52,9.924,9.122,0
no_act/csi_noactivity_1(53),8.312,7.594,11.514,10.473,10.378,8.707,0
no_act/csi_noactivity_1(54),8.218,7.656,11.815,10.35,10.563,8.703,0
no_act/csi_noactivity_1(55),8.568,7.39,12.016,10.112,9.801,9.388,0
no_act/csi_noactivity_1(56),8.326,7.438,12.386,9.745,10.339,8.941,0
no_act/csi_noactivity_1(57),8.153,7.516,12.714,9.603,10.804,8.623,0
no_act/csi_noactivity_1(58),8.569,7.227,11.983,10.194,9.77,9.541,0
no_act/csi_noactivity_1(59),8.439,7.414,11.854,10.19,9.882,9.366,0
no_act/csi_noactivity_1(60),8.231,7.56,11.795,10.234,10.057,9.18,0
no_act/csi_noactivity_1(61),8.688,7.148,12.659,9.581,10.077,9.049,0
no_act/csi_noactivity_1(62),8.48,7.214,12.589,9.688,10.048,8.988,0
no_act/csi_noactivity_1(63),8.199,7.454,11.861,10.317,10.416,8.781,0
no_act/csi_noactivity_1(64),8.226,7.617,11.786,10.422,10.601,8.663,0
no_act/csi_noactivity_1(65),8.286,7.693,11.8,10.569,10.271,9.076,0
no_act/csi_noactivity_1(66),8.505,7.496,11.476,10.603,10.04,9.33,0
no_act/csi_noactivity_1(67),8.798,7.084,11.546,10.351,10.141,9.179,0
no_act/csi_noactivity_1(68),8.543,7.232,11.377,10.708,10.139,9.135,0
no_act/csi_noactivity_1(69),8.417,7.521,11.985,10.321,10.186,9.233,0
no_act/csi_noactivity_1(70),8.373,7.589,12.212,9.982,10.247,9.028,0
no_act/csi_noactivity_1(71),7.91,7.806,12.374,9.641,10.772,8.424,0
no_act/csi_noactivity_1(72),8.212,7.52,11.786,10.156,10.722,8.509,0
no_act/csi_noactivity_1(73),8.208,7.648,11.438,10.577,10.2,8.959,0
no_act/csi_noactivity_1(74),8.074,7.798,12.479,9.75,10.729,8.439,0
no_act/csi_noactivity_1(75),8.04,7.652,11.94,10.251,10.549,8.687,0
no_act/csi_noactivity_1(76),8.313,7.472,11.947,10.149,9.98,9.288,0
no_act/csi_noactivity_1(77),8.178,7.763,11.988,10.068,10.286,8.88,0
no_act/csi_noactivity_1(78),8.349,7.668,11.989,10.31,10.228,9.196,0
no_act/csi_noactivity_1(79),8.297,7.463,11.276,10.755,10.417,8.964,0
no_act/csi_noactivity_1(80),8.548,7.232,10.987,10.837,10.364,8.928,0
no_act/csi_noactivity_1(81),8.272,7.625,11.761,10.172,10.625,8.587,0
no_act/csi_noactivity_1(82),8.45,7.438,11.82,10.258,10.916,8.362,0
no_act/csi_noactivity_1(83),8.562,7.302,11.287,10.928,10.48,8.752,0
no_act/csi_noactivity_1(84),8.564,7.431,11.487,10.724,10.12,9.053,0
no_act/csi_noactivity_1(85),8.473,7.457,11.716,10.467,9.869,9.209,0
no_act/csi_noactivity_1(86),8.225,7.439,12.131,9.956,10.068,8.953,0
no_act/csi_noactivity_1(87),8.547,7.149,12.435,9.621,9.837,9.09,0
no_act/csi_noactivity_1(88),8.362,7.516,11.488,10.685,10.383,8.85,0
no_act/csi_noactivity_1(89),8.275,7.672,11.91,10.234,10.274,8.957,0
no_act/csi_noactivity_1(90),8.216,7.791,12.172,9.918,10.624,8.798,0
no_act/csi_noactivity_1(91),8.37,7.54,12.224,9.864,10.397,9.077,0
no_act/csi_noactivity_1(92),8.485,7.391,11.384,10.733,10.096,9.255,0
no_act/csi_noactivity_1(93),8.366,7.461,11.39,10.647,10.416,8.755,0
no_act/csi_noactivity_1(94),8.166,7.821,12.074,10.155,10.575,8.898,0
no_act/csi_noactivity_1(95),8.459,7.509,12.872,9.404,10.674,8.591,0
no_act/csi_noactivity_1(96),8.486,7.534,12.538,9.671,10.245,8.816,0
no_act/csi_noactivity_1(97),8.205,7.736,11.828,10.258,10.509,8.686,0
no_act/csi_noactivity_1(98),8.199,7.632,11.659,10.372,10.423,8.728,0
no_act/csi_noactivity_1(99),8.048,7.769,12.441,9.853,10.901,8.719,0
no_act/csi_noactivity_1(100),8.193,7.718,12.143,10.091,10.29,9.021,0
no_act/csi_noactivity_1(101),8.193,7.633,11.463,10.612,10.106,9.145,0
