,title,A_1,A_2,A_3,A_4,A_5,BA_1,BA_2,CB_1,CB_2,AC_1,AC_2,Y
0,no_act_1(0),-0.986,-0.836,-0.774,-0.759,-0.8440000000000001,8.573,7.377000000000001,11.232999999999999,10.96,10.290999999999999,8.929,0
1,no_act_1(1),-0.981,-0.8290000000000001,-0.774,-0.768,-0.828,8.386000000000001,7.391,11.277000000000001,10.772,10.460999999999999,8.821,0
2,no_act_1(2),-0.971,-0.8270000000000001,-0.777,-0.787,-0.841,8.204,7.505,11.738,10.342,10.357000000000001,8.933,0
3,no_act_1(3),-0.965,-0.8370000000000001,-0.775,-0.768,-0.809,8.353,7.492000000000001,12.168,10.068,10.217,9.171,0
4,no_act_1(4),-0.9740000000000001,-0.8290000000000001,-0.758,-0.7709999999999999,-0.8320000000000001,8.107999999999999,7.6770000000000005,12.312999999999999,9.853,10.540999999999999,8.822000000000001,0
5,no_act_1(5),-0.975,-0.826,-0.765,-0.753,-0.802,8.095,7.702000000000001,11.843,10.299000000000001,10.475,8.635,0
6,no_act_1(6),-0.9670000000000001,-0.8240000000000001,-0.778,-0.78,-0.812,8.339,7.497999999999999,11.445,10.52,10.322000000000001,8.616,0
7,no_act_1(7),-0.97,-0.8270000000000001,-0.79,-0.769,-0.8440000000000001,8.101,7.657,11.857999999999999,10.18,10.367,8.702,0
8,no_act_1(8),-0.978,-0.833,-0.787,-0.757,-0.7879999999999999,8.329,7.666,11.632,10.56,10.374,8.881,0
9,no_act_1(9),-0.978,-0.8340000000000001,-0.773,-0.757,-0.81,8.708,7.292000000000001,11.321,10.725999999999999,10.075,9.086,0
10,no_act_1(10),-0.977,-0.8320000000000001,-0.758,-0.7859999999999999,-0.8440000000000001,8.697000000000001,7.09,12.107999999999999,9.896,9.626,9.494,0
11,no_act_1(11),-0.983,-0.835,-0.7879999999999999,-0.75,-0.802,8.339,7.627000000000001,11.94,10.15,10.325,8.94,0
12,no_act_1(12),-0.978,-0.831,-0.774,-0.7759999999999999,-0.833,8.505,7.587999999999999,12.020999999999999,10.158,10.128,9.137,0
13,no_act_1(13),-0.973,-0.833,-0.78,-0.782,-0.8109999999999999,8.513,7.47,11.247,10.804,10.148,9.087,0
14,no_act_1(14),-0.976,-0.8340000000000001,-0.784,-0.768,-0.825,8.415,7.3839999999999995,11.026,10.9,10.12,9.137,0
15,no_act_1(15),-0.9790000000000001,-0.835,-0.77,-0.762,-0.818,8.216000000000001,7.523,11.287,10.770999999999999,10.128,9.13,0
16,no_act_1(16),-0.975,-0.826,-0.7609999999999999,-0.7709999999999999,-0.8290000000000001,8.352,7.443,11.450999999999999,10.577,10.41,8.735,0
17,no_act_1(17),-0.9740000000000001,-0.828,-0.764,-0.787,-0.831,8.363,7.49,11.29,10.814,10.293,8.89,0
18,no_act_1(18),-0.976,-0.833,-0.767,-0.775,-0.815,8.538,7.318,11.722999999999999,10.493,9.792,9.406,0
19,no_act_1(19),-0.9740000000000001,-0.831,-0.795,-0.748,-0.8140000000000001,8.568,7.42,11.26,10.734000000000002,10.118,9.089,0
20,no_act_1(20),-0.977,-0.831,-0.789,-0.755,-0.8390000000000001,8.15,7.702999999999999,11.829,10.118,10.34,8.78,0
21,no_act_1(21),-0.98,-0.8320000000000001,-0.774,-0.755,-0.862,8.077,7.648,12.119000000000002,10.02,10.298,8.789,0
22,no_act_1(22),-0.985,-0.8340000000000001,-0.7809999999999999,-0.747,-0.812,8.603,7.315,11.450999999999999,10.706,10.574000000000002,8.823,0
23,no_act_1(23),-0.976,-0.8290000000000001,-0.78,-0.757,-0.821,8.166,7.586,12.314,9.714,10.581,8.802999999999999,0
24,no_act_1(24),-0.9670000000000001,-0.828,-0.774,-0.7709999999999999,-0.8029999999999999,8.109,7.742000000000001,12.539000000000001,9.573,10.793,8.54,0
25,no_act_1(25),-0.9690000000000001,-0.825,-0.8029999999999999,-0.773,-0.802,8.216000000000001,7.7170000000000005,12.578,9.683,10.628,8.74,0
26,no_act_1(26),-0.975,-0.828,-0.809,-0.76,-0.799,8.472999999999999,7.42,12.952,9.429,10.694,8.843,0
27,no_act_1(27),-0.981,-0.833,-0.772,-0.757,-0.826,8.277000000000001,7.621,12.737,9.558,10.774000000000001,8.619,0
28,no_act_1(28),-0.978,-0.83,-0.774,-0.779,-0.779,8.265,7.692,12.482999999999999,9.738,10.437999999999999,8.588,0
29,no_act_1(29),-0.977,-0.831,-0.7929999999999999,-0.784,-0.8140000000000001,8.527000000000001,7.42,11.769,10.394,9.982000000000001,9.009,0
30,no_act_1(30),-0.9740000000000001,-0.835,-0.784,-0.785,-0.855,8.263,7.476,11.645,10.43,10.176,8.985,0
31,no_act_1(31),-0.9690000000000001,-0.836,-0.774,-0.765,-0.846,8.229,7.528,12.453,9.695,10.51,8.714,0
32,no_act_1(32),-0.97,-0.8290000000000001,-0.779,-0.774,-0.797,8.113,7.664,12.375,9.917,10.487,8.704,0
33,no_act_1(33),-0.98,-0.8320000000000001,-0.774,-0.79,-0.81,8.532,7.518,11.669,10.366,9.894,9.384,0
