FILE,VAR,IQR,Y
csi_noactivity_1-01,1.01,1.14,0
csi_noactivity_1-02,0.59,0.94,0
csi_noactivity_1-03,0.77,0.92,0
csi_noactivity_1-04,0.78,0.94,0
csi_noactivity_1-05,0.77,0.94,0
csi_noactivity_1-06,0.72,0.93,0
csi_noactivity_2-01,0.61,0.92,0
csi_noactivity_2-02,0.45,0.87,0
csi_noactivity_2-03,0.69,1.02,0
csi_noactivity_2-04,0.6,0.98,0
csi_noactivity_2-05,0.49,0.92,0
csi_noactivity_2-06,0.46,0.9,0
d6e5_2-01,29.68,5.0,1
d6e5_2-02,17.95,9.12,1
d6e5_2-03,29.77,6.09,1
d6e5_2-04,22.18,6.45,1
d6e5_2-05,30.42,8.38,1
d6e5_2-06,22.11,8.45,1
a4c6_1-01,4.46,9.51,1
a4c6_1-02,2.25,8.6,1
a4c6_1-03,5.49,5.77,1
a4c6_1-04,2.4,5.91,1
a4c6_1-05,3.91,7.85,1
a4c6_1-06,2.69,5.76,1
c1_1-01,2.46,3.89,1
c1_1-02,3.21,4.64,1
c1_1-03,2.73,5.33,1
c1_1-04,2.62,4.43,1
c1_1-05,2.72,6.45,1
c1_1-06,2.75,4.37,1
a3d6_2-01,9.5,4.69,1
a3d6_2-02,5.31,3.97,1
a3d6_2-03,5.17,4.19,1
a3d6_2-04,8.0,4.43,1
a3d6_2-05,3.95,3.74,1
a3d6_2-06,5.72,3.28,1
b1_1-01,2.78,4.45,1
b1_1-02,3.04,4.07,1
b1_1-03,2.79,4.43,1
b1_1-04,2.93,4.66,1
b1_1-05,2.82,4.71,1
b1_1-06,3.47,5.39,1
b2_1-01,3.41,6.39,1
b2_1-02,2.96,4.86,1
b2_1-03,3.87,5.3,1
b2_1-04,3.38,8.37,1
b2_1-05,4.33,6.09,1
b2_1-06,3.34,5.21,1
b6e3_2-01,15.64,2.73,1
b6e3_2-02,19.06,2.58,1
b6e3_2-03,16.93,2.67,1
b6e3_2-04,14.23,2.74,1
b6e3_2-05,5.66,2.55,1
b6e3_2-06,14.98,2.64,1
a4c6_2-01,4.85,2.91,1
a4c6_2-02,3.69,2.94,1
a4c6_2-03,5.15,2.57,1
a4c6_2-04,1.77,3.07,1
a4c6_2-05,5.24,2.79,1
a4c6_2-06,2.24,2.94,1
e2_1-01,4.19,3.41,1
e2_1-02,3.74,3.36,1
e2_1-03,3.51,3.55,1
e2_1-04,3.93,3.45,1
e2_1-05,3.69,3.24,1
e2_1-06,3.83,3.58,1
b1e4_2-01,4.89,3.68,1
b1e4_2-02,5.11,2.25,1
b1e4_2-03,4.14,4.07,1
b1e4_2-04,5.2,3.54,1
b1e4_2-05,5.43,1.73,1
b1e4_2-06,4.45,3.82,1
a4_1-01,2.66,4.46,1
a4_1-02,3.11,2.76,1
a4_1-03,3.35,2.89,1
a4_1-04,2.57,3.67,1
a4_1-05,3.31,2.43,1
a4_1-06,2.58,3.21,1
a5e1_2-01,11.96,2.46,1
a5e1_2-02,12.42,2.91,1
a5e1_2-03,3.7,2.8,1
a5e1_2-04,12.28,2.56,1
a5e1_2-05,2.24,2.4,1
a5e1_2-06,14.22,2.86,1
a6e2_1-01,14.73,2.76,1
a6e2_1-02,16.91,1.87,1
a6e2_1-03,3.58,3.06,1
a6e2_1-04,17.77,1.89,1
a6e2_1-05,13.12,2.29,1
a6e2_1-06,5.33,1.98,1
e1_1-01,1.58,2.71,1
e1_1-02,0.95,2.15,1
e1_1-03,1.07,2.95,1
e1_1-04,0.94,1.67,1
e1_1-05,0.99,3.03,1
e1_1-06,1.91,1.88,1
a5_1-01,3.21,2.23,1
a5_1-02,2.51,2.88,1
a5_1-03,3.02,2.76,1
a5_1-04,3.3,2.07,1
a5_1-05,3.37,3.31,1
a5_1-06,3.11,3.11,1
a2b1_1-01,20.06,2.49,1
a2b1_1-02,21.84,2.91,1
a2b1_1-03,27.51,2.89,1
a2b1_1-04,21.21,2.13,1
a2b1_1-05,32.31,2.7,1
a2b1_1-06,19.63,3.15,1
d1e2_1-01,2.22,2.3,1
d1e2_1-02,1.97,2.7,1
d1e2_1-03,2.22,3.03,1
d1e2_1-04,2.53,2.15,1
d1e2_1-05,2.94,2.94,1
d1e2_1-06,1.79,2.15,1
b6_1-01,2.12,1.67,1
b6_1-02,2.08,1.7,1
b6_1-03,1.99,1.67,1
b6_1-04,2.32,1.81,1
b6_1-05,2.2,1.78,1
b6_1-06,2.39,1.49,1
a3c1_1-01,13.68,1.56,1
a3c1_1-02,17.38,1.72,1
a3c1_1-03,15.08,1.63,1
a3c1_1-04,14.82,1.75,1
a3c1_1-05,12.24,1.74,1
a3c1_1-06,15.24,1.61,1
a5b6_1-01,1.87,2.89,1
a5b6_1-02,1.97,3.1,1
a5b6_1-03,2.03,2.12,1
a5b6_1-04,2.29,3.21,1
a5b6_1-05,2.05,2.61,1
a5b6_1-06,1.48,2.57,1
a4d1_2-01,6.04,2.9,1
a4d1_2-02,15.37,2.51,1
a4d1_2-03,16.86,2.32,1
a4d1_2-04,2.73,2.73,1
a4d1_2-05,14.37,2.04,1
a4d1_2-06,16.54,2.76,1
a2_1-01,3.25,2.86,1
a2_1-02,3.04,2.07,1
a2_1-03,3.21,2.71,1
a2_1-04,3.31,2.97,1
a2_1-05,3.11,2.96,1
a2_1-06,3.09,2.75,1
a2b1_2-01,24.54,3.24,1
a2b1_2-02,19.29,3.41,1
a2b1_2-03,19.67,2.73,1
a2b1_2-04,24.55,3.49,1
a2b1_2-05,12.87,2.87,1
a2b1_2-06,13.96,3.2,1
d4_1-01,2.81,3.17,1
d4_1-02,3.38,3.32,1
d4_1-03,3.46,2.82,1
d4_1-04,2.94,3.27,1
d4_1-05,4.43,2.68,1
d4_1-06,3.0,2.18,1
c4_1-01,3.82,3.1,1
c4_1-02,3.41,3.22,1
c4_1-03,4.07,3.36,1
c4_1-04,3.59,2.95,1
c4_1-05,3.46,2.99,1
c4_1-06,3.13,2.31,1
a4d1_1-01,8.52,1.81,1
a4d1_1-02,13.97,1.94,1
a4d1_1-03,13.03,2.02,1
a4d1_1-04,3.02,1.73,1
a4d1_1-05,13.78,2.56,1
a4d1_1-06,14.58,2.79,1
d3_1-01,3.18,3.0,1
d3_1-02,3.07,3.82,1
d3_1-03,2.84,3.16,1
d3_1-04,2.84,3.8,1
d3_1-05,2.89,3.15,1
d3_1-06,2.73,3.01,1
a5b6_2-01,1.75,3.02,1
a5b6_2-02,2.14,3.02,1
a5b6_2-03,1.99,2.98,1
a5b6_2-04,2.05,3.15,1
a5b6_2-05,2.25,3.13,1
a5b6_2-06,1.75,2.9,1
a3c1_2-01,14.74,2.51,1
a3c1_2-02,14.75,2.81,1
a3c1_2-03,15.85,2.48,1
a3c1_2-04,15.1,2.55,1
a3c1_2-05,14.7,2.38,1
a3c1_2-06,14.21,2.45,1
c6e4_2-01,16.74,2.58,1
c6e4_2-02,16.22,2.44,1
c6e4_2-03,16.34,2.83,1
c6e4_2-04,16.48,2.55,1
c6e4_2-05,17.8,2.62,1
c6e4_2-06,17.18,2.51,1
c6_1-01,2.73,2.58,1
c6_1-02,2.7,2.72,1
c6_1-03,2.94,2.54,1
c6_1-04,3.16,2.32,1
c6_1-05,2.64,2.61,1
c6_1-06,2.93,2.64,1
d6e5_1-01,26.39,2.23,1
d6e5_1-02,20.97,2.18,1
d6e5_1-03,21.42,2.82,1
d6e5_1-04,29.11,2.41,1
d6e5_1-05,18.13,2.19,1
d6e5_1-06,22.4,2.62,1
a3_1-01,2.81,2.39,1
a3_1-02,3.31,1.96,1
a3_1-03,3.14,2.13,1
a3_1-04,2.86,1.98,1
a3_1-05,2.64,2.84,1
a3_1-06,3.16,2.15,1
a3d6_1-01,8.23,3.0,1
a3d6_1-02,3.94,3.61,1
a3d6_1-03,9.89,3.06,1
a3d6_1-04,8.85,2.78,1
a3d6_1-05,1.94,3.42,1
a3d6_1-06,9.55,3.44,1
d2_1-01,2.07,2.73,1
d2_1-02,2.32,3.55,1
d2_1-03,1.86,3.48,1
d2_1-04,1.86,2.79,1
d2_1-05,1.92,2.5,1
d2_1-06,2.13,2.95,1
c6e4_1-01,25.68,1.75,1
c6e4_1-02,12.6,1.73,1
c6e4_1-03,22.48,1.71,1
c6e4_1-04,17.24,1.79,1
c6e4_1-05,14.0,1.81,1
c6e4_1-06,17.79,1.89,1
c1e3_1-01,2.86,2.02,1
c1e3_1-02,1.95,1.69,1
c1e3_1-03,2.79,2.04,1
c1e3_1-04,3.76,2.36,1
c1e3_1-05,2.31,1.89,1
c1e3_1-06,2.21,1.74,1
e5_1-01,4.8,2.33,1
e5_1-02,4.55,2.41,1
e5_1-03,4.89,2.79,1
e5_1-04,4.73,2.53,1
e5_1-05,2.98,2.59,1
e5_1-06,3.2,2.5,1
c3_1-01,3.2,1.92,1
c3_1-02,4.53,2.97,1
c3_1-03,3.12,2.56,1
c3_1-04,3.33,2.0,1
c3_1-05,3.85,2.49,1
c3_1-06,3.03,2.18,1
e4_1-01,2.71,2.49,1
e4_1-02,1.92,2.57,1
e4_1-03,1.63,2.71,1
e4_1-04,1.81,2.3,1
e4_1-05,2.45,2.06,1
e4_1-06,2.9,2.35,1
a2e6_2-01,17.26,2.53,1
a2e6_2-02,14.97,2.59,1
a2e6_2-03,18.02,2.63,1
a2e6_2-04,31.5,2.68,1
a2e6_2-05,17.89,2.58,1
a2e6_2-06,13.46,2.5,1
c5_1-01,3.22,2.82,1
c5_1-02,2.89,2.59,1
c5_1-03,3.23,2.66,1
c5_1-04,3.25,2.81,1
c5_1-05,3.19,2.46,1
c5_1-06,3.18,2.55,1
b1e4_1-01,6.07,2.81,1
b1e4_1-02,8.52,2.48,1
b1e4_1-03,7.06,2.88,1
b1e4_1-04,7.52,2.93,1
b1e4_1-05,5.86,2.9,1
b1e4_1-06,5.6,2.75,1
c1e3_2-01,2.46,4.51,1
c1e3_2-02,2.38,3.85,1
c1e3_2-03,3.08,4.11,1
c1e3_2-04,2.61,4.05,1
c1e3_2-05,3.02,3.52,1
c1e3_2-06,2.52,4.08,1
b6e3_1-01,13.76,3.09,1
b6e3_1-02,16.72,3.67,1
b6e3_1-03,13.1,3.22,1
b6e3_1-04,5.81,3.81,1
b6e3_1-05,16.45,3.59,1
b6e3_1-06,15.35,4.35,1
a6e2_2-01,15.13,2.14,1
a6e2_2-02,14.29,2.22,1
a6e2_2-03,3.29,2.41,1
a6e2_2-04,14.81,2.64,1
a6e2_2-05,15.2,1.97,1
a6e2_2-06,3.16,2.31,1
a1e5_2-01,35.44,1.87,1
a1e5_2-02,39.47,1.7,1
a1e5_2-03,16.93,1.86,1
a1e5_2-04,14.6,2.04,1
a1e5_2-05,35.52,1.99,1
a1e5_2-06,15.22,1.68,1
a2e6_1-01,12.09,1.41,1
a2e6_1-02,8.61,1.39,1
a2e6_1-03,10.05,1.4,1
a2e6_1-04,13.01,2.01,1
a2e6_1-05,13.38,1.79,1
a2e6_1-06,13.52,1.6,1
e3_1-01,2.51,1.68,1
e3_1-02,2.35,1.84,1
e3_1-03,2.26,1.56,1
e3_1-04,2.35,1.59,1
e3_1-05,2.27,1.64,1
e3_1-06,2.55,1.71,1
a1e5_1-01,16.77,2.85,1
a1e5_1-02,52.51,2.75,1
a1e5_1-03,23.12,2.44,1
a1e5_1-04,19.63,2.51,1
a1e5_1-05,32.42,2.48,1
a1e5_1-06,32.72,2.41,1
b4_1-01,2.54,2.32,1
b4_1-02,2.51,2.57,1
b4_1-03,3.17,2.43,1
b4_1-04,2.75,2.38,1
b4_1-05,2.6,2.6,1
b4_1-06,3.15,2.46,1
a5e1_1-01,10.1,2.88,1
a5e1_1-02,14.18,2.64,1
a5e1_1-03,2.95,2.75,1
a5e1_1-04,11.02,2.73,1
a5e1_1-05,8.73,2.57,1
a5e1_1-06,8.24,2.57,1
b5_1-01,2.88,4.46,1
b5_1-02,2.37,4.72,1
b5_1-03,2.57,4.75,1
b5_1-04,2.36,5.82,1
b5_1-05,3.14,4.09,1
b5_1-06,2.7,5.18,1
b3_1-01,3.02,5.29,1
b3_1-02,3.28,4.32,1
b3_1-03,2.96,6.22,1
b3_1-04,2.67,4.43,1
b3_1-05,3.55,4.76,1
b3_1-06,3.19,4.82,1
a6_1-01,3.6,2.54,1
a6_1-02,3.61,2.01,1
a6_1-03,3.86,1.89,1
a6_1-04,3.47,1.81,1
a6_1-05,3.54,1.9,1
a6_1-06,3.07,2.26,1
b1e2_2-01,1.88,1.5,1
b1e2_2-02,2.05,1.15,1
b1e2_2-03,2.13,1.21,1
b1e2_2-04,1.59,1.15,1
b1e2_2-05,2.86,1.21,1
