FILE,VAR_A,VAR_B,VAR_C,Y
csi_noactivity_1-01,2.02,1.01,0.23,0
csi_noactivity_1-02,1.05,0.59,0.22,0
csi_noactivity_1-03,1.45,0.77,0.24,0
csi_noactivity_1-04,1.47,0.78,0.24,0
csi_noactivity_1-05,1.44,0.77,0.24,0
csi_noactivity_1-06,1.35,0.72,0.23,0
csi_noactivity_2-01,1.07,0.61,0.23,0
csi_noactivity_2-02,0.75,0.45,0.22,0
csi_noactivity_2-03,1.35,0.69,0.23,0
csi_noactivity_2-04,1.16,0.6,0.23,0
csi_noactivity_2-05,0.9,0.49,0.23,0
csi_noactivity_2-06,0.8,0.46,0.22,0
d6e5_2-01,21.13,29.68,4.95,1
d6e5_2-02,17.94,17.95,2.95,1
d6e5_2-03,26.55,29.77,5.56,1
d6e5_2-04,15.23,22.18,4.4,1
d6e5_2-05,33.91,30.42,5.34,1
d6e5_2-06,18.49,22.11,4.62,1
a4c6_1-01,3.72,4.46,0.48,1
a4c6_1-02,2.59,2.25,0.36,1
a4c6_1-03,3.52,5.49,0.52,1
a4c6_1-04,2.73,2.4,0.39,1
a4c6_1-05,3.53,3.91,0.4,1
a4c6_1-06,2.57,2.69,0.4,1
c1_1-01,1.28,2.46,0.21,1
c1_1-02,1.24,3.21,0.28,1
c1_1-03,1.37,2.73,0.25,1
c1_1-04,1.13,2.62,0.23,1
c1_1-05,1.26,2.72,0.28,1
c1_1-06,3.92,2.75,0.79,1
a3d6_2-01,4.4,9.5,0.74,1
a3d6_2-02,4.15,5.31,0.51,1
a3d6_2-03,5.17,5.17,0.56,1
a3d6_2-04,3.86,8,0.84,1
a3d6_2-05,3.87,3.95,0.47,1
a3d6_2-06,4.46,5.72,0.71,1
b1_1-01,5.47,2.78,0.58,1
b1_1-02,3.2,3.04,0.43,1
b1_1-03,6.35,2.79,0.86,1
b1_1-04,7.57,2.93,0.7,1
b1_1-05,6.82,2.82,0.82,1
b1_1-06,19.76,3.47,1.42,1
b2_1-01,32.68,3.41,1.02,1
b2_1-02,22.64,2.96,1.21,1
b2_1-03,61.22,3.87,2.38,1
b2_1-04,45.67,3.38,2.68,1
b2_1-05,44.82,4.33,2.11,1
b2_1-06,31.85,3.34,1.84,1
b6e3_2-01,18.56,15.64,1.59,1
b6e3_2-02,18.47,19.06,1.74,1
b6e3_2-03,22.28,16.93,1.52,1
b6e3_2-04,21.43,14.23,1.71,1
b6e3_2-05,3.4,5.66,0.53,1
b6e3_2-06,15.11,14.98,1.7,1
a4c6_2-01,2.91,4.85,0.4,1
a4c6_2-02,3.05,3.69,0.46,1
a4c6_2-03,3.84,5.15,0.51,1
a4c6_2-04,2.3,1.77,0.36,1
a4c6_2-05,3.55,5.24,0.58,1
a4c6_2-06,2.32,2.24,0.36,1
e2_1-01,1.51,4.19,0.24,1
e2_1-02,1.51,3.74,0.25,1
e2_1-03,1.57,3.51,0.25,1
e2_1-04,1.41,3.93,0.26,1
e2_1-05,1.27,3.69,0.24,1
e2_1-06,4.87,3.83,0.68,1
b1e4_2-01,3.3,4.89,0.58,1
b1e4_2-02,3.5,5.11,1.14,1
b1e4_2-03,3.29,4.14,0.52,1
b1e4_2-04,3.26,5.2,0.71,1
b1e4_2-05,3.34,5.43,0.85,1
b1e4_2-06,3.61,4.45,0.56,1
a4_1-01,1.95,2.66,0.34,1
a4_1-02,2.25,3.11,0.36,1
a4_1-03,2.09,3.35,0.33,1
a4_1-04,2.12,2.57,0.36,1
a4_1-05,2.3,3.31,0.38,1
a4_1-06,1.82,2.58,0.37,1
a5e1_2-01,9.17,11.96,1.49,1
a5e1_2-02,6.97,12.42,1.28,1
a5e1_2-03,3.62,3.7,0.44,1
a5e1_2-04,9.44,12.28,1.45,1
a5e1_2-05,3.46,2.24,0.46,1
a5e1_2-06,9.24,14.22,1.3,1
a6e2_1-01,15.06,14.73,1.59,1
a6e2_1-02,13.66,16.91,1.13,1
a6e2_1-03,3.73,3.58,0.43,1
a6e2_1-04,23.47,17.77,1.29,1
a6e2_1-05,13.51,13.12,1.64,1
a6e2_1-06,3.82,5.33,0.71,1
e1_1-01,0.84,1.58,0.19,1
e1_1-02,0.5,0.95,0.19,1
e1_1-03,0.55,1.07,0.19,1
